Date,Open,High,Low,Close,Volume
2021-01-01,28994.009765625,29600.626953125,28803.5859375,29374.15234375,40730301359.0
2021-01-02,29376.455078125,33155.1171875,29091.181640625,32127.267578125,67865420765.0
2021-01-03,32129.408203125,34608.55859375,32052.31640625,32782.0234375,78665235202.0
2021-01-04,32810.94921875,33440.21875,28722.755859375,31971.9140625,81163475344.0
2021-01-05,31977.041015625,34437.58984375,30221.1875,33992.4296875,67547324782.0
2021-01-06,34013.61328125,36879.69921875,33514.03515625,36824.36328125,75289433811.0
2021-01-07,36833.875,40180.3671875,36491.19140625,39371.04296875,84762141031.0
2021-01-08,39381.765625,41946.73828125,36838.63671875,40797.609375,88107519480.0
2021-01-09,40788.640625,41436.3515625,38980.875,40254.546875,61984162837.0
2021-01-10,40254.21875,41420.19140625,35984.62890625,38356.44140625,79980747690.0
2021-01-11,38346.53125,38346.53125,30549.599609375,35566.65625,123320567399.0
2021-01-12,35516.359375,36568.52734375,32697.9765625,33922.9609375,74773277909.0
2021-01-13,33915.12109375,37599.9609375,32584.66796875,37316.359375,69364315979.0
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,63615990033.0
2021-01-15,39156.70703125,39577.7109375,34659.58984375,36825.3671875,67760757881.0
2021-01-16,36821.6484375,37864.3671875,35633.5546875,36178.140625,57706187875.0
2021-01-17,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336.0
2021-01-18,35792.23828125,37299.28515625,34883.84375,36630.07421875,49511702429.0
2021-01-19,36642.234375,37755.890625,36069.8046875,36069.8046875,57244195486.0
2021-01-20,36050.11328125,36378.328125,33570.4765625,35547.75,66834573161.0
2021-01-21,35549.3984375,35552.6796875,30250.75,30825.69921875,75643067688.0
2021-01-22,30817.625,33811.8515625,28953.373046875,33005.76171875,77207272511.0
2021-01-23,32985.7578125,33360.9765625,31493.16015625,32067.642578125,48354737975.0
2021-01-24,32064.376953125,32944.0078125,31106.685546875,32289.37890625,48643830599.0
2021-01-25,32285.798828125,34802.7421875,32087.787109375,32366.392578125,59897054838.0
2021-01-26,32358.61328125,32794.55078125,31030.265625,32569.849609375,60255421470.0
2021-01-27,32564.029296875,32564.029296875,29367.138671875,30432.546875,62576762015.0
2021-01-28,30441.041015625,33858.3125,30023.20703125,33466.09765625,76517157706.0
2021-01-29,34318.671875,38406.26171875,32064.814453125,34316.38671875,117894572511.0
2021-01-30,34295.93359375,34834.70703125,32940.1875,34269.5234375,65141828798.0
2021-01-31,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671.0
2021-02-01,33114.578125,34638.21484375,32384.228515625,33537.17578125,61400400660.0
2021-02-02,33533.19921875,35896.8828125,33489.21875,35510.2890625,63088585433.0
2021-02-03,35510.8203125,37480.1875,35443.984375,37472.08984375,61166818159.0
2021-02-04,37475.10546875,38592.17578125,36317.5,36926.06640625,68838074392.0
2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402.0
2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653.0
2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143.0
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687.0
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886.0
2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896.0
2021-02-11,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810.0
2021-02-12,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196.0
2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155.0
2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228.0
2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166.0
2021-02-16,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886.0
