universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,random,Random,lower_anchor,random,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.003080719323935943,-0.0068718417700183165,1.8161597012156998,0.7857142857142857,1,0,6,1.0,0.015303451446262883,11.494988765503402,0.75,4,0.7594327657540915,0.0,0.8000886235333456
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,buy_and_hold,Buy and hold,passive,buy-and-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.026055942538617316,-0.007774000273097381,8.714559069441872,0.75,2,16,0,1.0,0.050693435544296284,11.72418522800042,0.8571428571428571,7,0.8604888014032381,0.5,0.8149115997275568
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,equal_weight,Equal weight,passive_rebalance,equal-weight,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.025371094075051337,-0.00743793802575643,9.618609596834709,0.8125,1,0,0,1.0,0.035319296213781826,11.72418522800042,0.8571428571428571,7,0.8258969879095805,1.0,0.8411912925772251
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.017823912082459925,-0.0004508879667421972,17.58257772880106,0.7,1,0,6,1.0,0.029420394511926018,16.17318764034814,1.0,6,0.8411958876518335,0.0,0.7835006838272697
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.017450291361641224,-0.003005135250363722,6.976272987833676,0.8333333333333334,1,0,12,1.0,0.0040489886004642095,2.6286143491697187,0.5,4,0.6041127280526114,0.0,0.8242544668648629
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.014713206603101936,-0.00743793802575643,6.592321455526183,0.8125,1,0,0,1.0,0.027526736532435425,10.564162540879149,0.8571428571428571,7,0.8083637286265513,1.0,0.8369853284402413
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.02435540792813984,-0.00743793802575643,9.415753246468029,0.8125,1,0,0,1.0,0.035440742353626264,11.782018066833103,0.8571428571428571,7,0.8261702417242305,1.0,0.8404352921973959
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.009662670909559301,-0.00743793802575643,4.3803176546384455,0.75,2,0,6,1.0,0.016004579356217574,7.8683080226123945,0.8571428571428571,7,0.782438874980061,0.0,0.8034489647588007
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
