case,correlation_intent_score,intent_coexposure,market_correlation,model,pair,provider,scene
svb_2023_deepseek_deepseek_v4_pro_true,0.22530503200202945,0.2675,0.8422618018767456,deepseek-v4-pro,BTC-USD/ETH-USD,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.21921332855147332,0.2666666666666667,0.8220499820680248,deepseek-v4-pro,JPM/C,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.1974029763103675,0.22000000000000006,0.8972862559562156,deepseek-v4-pro,WFC/XLF,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.19058620861815279,0.21500000000000005,0.8864474819448964,deepseek-v4-pro,GS/XLF,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.18707921349736584,0.2666666666666667,0.7015470506151218,deepseek-v4-pro,WFC/TFC,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.18607087469560474,0.2666666666666667,0.6977657801085176,deepseek-v4-pro,JPM/WFC,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.18326885618784208,0.21333333333333337,0.8590727633805096,deepseek-v4-pro,C/WFC,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.18228416017378438,0.2066666666666667,0.8820201298731501,deepseek-v4-pro,C/XLF,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.18103614605664137,0.24000000000000002,0.7543172752360057,deepseek-v4-pro,JPM/XLF,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.17900326039367548,0.22666666666666668,0.7897202664426859,deepseek-v4-pro,C/MS,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.17640501303164555,0.2800000000000001,0.6300179036844482,deepseek-v4-pro,JPM/GS,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.1699584816421864,0.2066666666666667,0.822379749881547,deepseek-v4-pro,XLF/GSPC,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.16875264012513091,0.22666666666666668,0.7444969417285187,deepseek-v4-pro,JPM/MS,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.16654232275578096,0.18666666666666673,0.892191014763112,deepseek-v4-pro,USB/XLF,deepseek,svb_2023
svb_2023_deepseek_deepseek_v4_pro_true,0.16254589255408314,0.19333333333333336,0.8407546166590506,deepseek-v4-pro,USB/TFC,deepseek,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.3028269112564483,0.34333333333333343,0.8820201298731501,claude-opus-4.7,C/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.28326472298760696,0.3445833333333334,0.8220499820680248,claude-opus-4.7,JPM/C,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.2811496935329476,0.3133333333333334,0.8972862559562156,claude-opus-4.7,WFC/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.27987657791529363,0.3322916666666667,0.8422618018767456,claude-opus-4.7,BTC-USD/ETH-USD,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.26113265405626745,0.29458333333333336,0.8864474819448964,claude-opus-4.7,GS/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.2577218290141529,0.30000000000000004,0.8590727633805096,claude-opus-4.7,C/WFC,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.24298092150324446,0.3133333333333334,0.7754710260741843,claude-opus-4.7,TFC/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.24104017084316168,0.3066666666666667,0.7860005570972662,claude-opus-4.7,GS/C,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.23399550475550263,0.31020833333333336,0.7543172752360057,claude-opus-4.7,JPM/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.22449505619683902,0.32000000000000006,0.7015470506151218,claude-opus-4.7,WFC/TFC,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.22418137072771618,0.3558333333333334,0.6300179036844482,claude-opus-4.7,JPM/GS,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.22369499556117375,0.2535416666666667,0.8822810013916464,claude-opus-4.7,BAC/XLF,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.22298857803888003,0.27229166666666665,0.8189328038153207,claude-opus-4.7,BAC/C,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.21656000080214075,0.26333333333333336,0.822379749881547,claude-opus-4.7,XLF/GSPC,poe,svb_2023
svb_2023_poe_claude_opus_4_7_true,0.21158867198026124,0.24333333333333337,0.8695424875901145,claude-opus-4.7,BAC/WFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.14248262148414947,0.1691666666666667,0.8422618018767456,gemini-3.1-pro,BTC-USD/ETH-USD,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.07706718581887732,0.09375,0.8220499820680248,gemini-3.1-pro,JPM/C,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.07568974071800755,0.11166666666666669,0.6778185735940973,gemini-3.1-pro,SCHW/TFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.07471969094254437,0.11250000000000003,0.6641750306003942,gemini-3.1-pro,SCHW/WFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.07366244031458781,0.10500000000000002,0.7015470506151218,gemini-3.1-pro,WFC/TFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.07086239076126645,0.13437500000000002,0.5273480242698898,gemini-3.1-pro,C/ETH-USD,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.06883878026755075,0.07916666666666668,0.8695424875901145,gemini-3.1-pro,BAC/WFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.06872582107044077,0.08,0.8590727633805096,gemini-3.1-pro,C/WFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.0635577764635653,0.07083333333333336,0.8972862559562156,gemini-3.1-pro,WFC/XLF,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.062273015290123364,0.07604166666666669,0.8189328038153207,gemini-3.1-pro,BAC/C,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.05810111044308439,0.08750000000000002,0.6640126907781072,gemini-3.1-pro,BAC/SCHW,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.05646703830034832,0.07916666666666668,0.7132678522149261,gemini-3.1-pro,BAC/TFC,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.05492919768025473,0.07083333333333335,0.7754710260741843,gemini-3.1-pro,TFC/XLF,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.050532403273982576,0.057291666666666685,0.8820201298731501,gemini-3.1-pro,C/XLF,poe,svb_2023
svb_2023_poe_gemini_3_1_pro_true,0.050251796677799825,0.10625000000000001,0.47295808637929243,gemini-3.1-pro,JPM/ETH-USD,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.258293619242202,0.3066666666666667,0.8422618018767456,gpt-5.5,BTC-USD/ETH-USD,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.21906355466203,0.25500000000000006,0.8590727633805096,gpt-5.5,C/WFC,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.2103077870790697,0.25583333333333336,0.8220499820680248,gpt-5.5,JPM/C,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.20666406866037132,0.29458333333333336,0.7015470506151218,gpt-5.5,WFC/TFC,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.18843011375080532,0.21000000000000005,0.8972862559562156,gpt-5.5,WFC/XLF,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.17750655113697147,0.20125,0.8820201298731501,gpt-5.5,C/XLF,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.17727078496826615,0.19458333333333336,0.9110275887020101,gpt-5.5,TFC/KRE,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.16997262047228387,0.21625000000000005,0.7860005570972662,gpt-5.5,GS/C,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.16659659476714228,0.20333333333333337,0.8193275152482405,gpt-5.5,WFC/KRE,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.16040169071542484,0.3041666666666667,0.5273480242698898,gpt-5.5,C/ETH-USD,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.15458145344823615,0.25125000000000003,0.6152495659631289,gpt-5.5,C/TFC,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.1539633099684787,0.1985416666666667,0.7754710260741843,gpt-5.5,TFC/XLF,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.15300830162327037,0.19374999999999998,0.7897202664426859,gpt-5.5,C/MS,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.14589448140343086,0.16458333333333333,0.8864474819448964,gpt-5.5,GS/XLF,poe,svb_2023
svb_2023_poe_gpt_5_5_true,0.14365446266927084,0.17541666666666667,0.8189328038153207,gpt-5.5,BAC/C,poe,svb_2023
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.3088007242593114,0.3866666666666667,0.7986225627395983,deepseek-v4-pro,MSFT/NOW,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.29195710182812973,0.3333333333333334,0.875871305484389,deepseek-v4-pro,INTU/NOW,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.2857550645160225,0.3408333333333334,0.8384011672841735,deepseek-v4-pro,AAPL/MSFT,deepseek,tech_rates_2022
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.28378423071715697,0.40750000000000003,0.6964030201648023,deepseek-v4-pro,ACN/NOW,deepseek,tech_rates_2022
