scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost,turnover_events
high_vol,E0_ideal,buy-and-hold,101,0,0.18319043471528818,9.458913601840822,-0.032539653112530265,1.0,21.51542994091872,59
high_vol,E0_ideal,buy-and-hold,102,0,0.34038326557435505,13.085835393307509,-0.023128574221969456,1.0,20.276444911834943,60
high_vol,E0_ideal,buy-and-hold,103,0,0.21323051652165614,8.871706439647454,-0.03179183439878963,1.0,21.037289246976414,60
high_vol,E0_ideal,buy-and-hold,104,0,0.3978555555974621,17.051507704538402,-0.01429868893778563,1.0,20.841936212443617,58
high_vol,E0_ideal,buy-and-hold,105,0,0.42253185622774136,17.151340707398443,-0.014975703536720508,1.0,19.984972093426396,56
high_vol,E0_ideal,buy-and-hold,106,0,0.31408470887059736,11.040769847596957,-0.02921679007091249,1.0,20.578840618004957,57
high_vol,E0_ideal,buy-and-hold,107,0,0.23819726732111435,10.085649624301585,-0.018380387609119864,1.0,20.572260438548422,58
high_vol,E0_ideal,buy-and-hold,108,0,0.47349131065807226,18.70634455342312,-0.009987862774139766,1.0,21.02076500575023,59
high_vol,E0_ideal,buy-and-hold,109,0,0.44651937687903565,19.020770927894905,-0.009577023386393324,1.0,20.346556856621874,57
high_vol,E0_ideal,buy-and-hold,110,0,0.23661149961507322,6.471255256252402,-0.07397688029263039,1.0,20.447727436203632,59
high_vol,E0_ideal,signal-weighted,101,0,0.07746359935098801,6.718017055309809,-0.014138996807183224,1.0,69.97793321536187,39
high_vol,E0_ideal,signal-weighted,102,0,0.2727527450856029,12.810703524156724,-0.008310318691435614,1.0,18.752173995262012,46
high_vol,E0_ideal,signal-weighted,103,0,0.1336219465976951,7.970779803188337,-0.013927157262428547,1.0,30.52640568950839,39
high_vol,E0_ideal,signal-weighted,104,0,0.24648506685610316,11.58375722218013,-0.014346345646694125,1.0,36.53423719560743,47
high_vol,E0_ideal,signal-weighted,105,0,0.2741933963658634,13.332362757667687,-0.0037902250962967843,1.0,31.057011488746387,45
high_vol,E0_ideal,signal-weighted,106,0,0.20907529053202545,9.759765476002318,-0.02685179684916217,1.0,49.17806465379277,47
high_vol,E0_ideal,signal-weighted,107,0,0.10275539795999,6.4930911240987195,-0.01781520395955094,1.0,68.91693831764904,49
high_vol,E0_ideal,signal-weighted,108,0,0.38308530734632074,15.987748244347827,-0.0040061290468683675,1.0,32.79883535994737,47
high_vol,E0_ideal,signal-weighted,109,0,0.3310704582318629,15.2884865755938,-0.0017490802646673576,1.0,20.433202208886772,44
high_vol,E0_ideal,signal-weighted,110,0,0.13920502495825793,6.209422902873882,-0.04225075434448089,1.0,34.49433236051436,43
high_vol,E0_ideal,naive-momentum,101,0,0.15224637641418104,9.600470564551697,-0.014849996439660562,1.0,48.82810794713461,34
high_vol,E0_ideal,naive-momentum,102,0,0.2752042556893981,12.466985246780073,-0.007715436376411033,1.0,53.55113244400141,48
high_vol,E0_ideal,naive-momentum,103,0,0.18539417155095061,10.941136066684786,-0.010034831583541792,1.0,67.57917646032509,44
high_vol,E0_ideal,naive-momentum,104,0,0.3720184333663614,16.987950855725956,-0.0077424648321423595,1.0,43.72951037058567,54
high_vol,E0_ideal,naive-momentum,105,0,0.3542570965606193,14.538846526207829,-0.012149549526215164,1.0,67.39136620714112,55
high_vol,E0_ideal,naive-momentum,106,0,0.2161449104663895,10.125022789566733,-0.02310298087343632,1.0,94.60920730857295,53
high_vol,E0_ideal,naive-momentum,107,0,0.17482166020104795,9.969083337600143,-0.01463351512473443,1.0,82.18688912023339,55
high_vol,E0_ideal,naive-momentum,108,0,0.40208369414897716,16.492380079598863,-0.01092499977881023,1.0,57.11093051395318,55
high_vol,E0_ideal,naive-momentum,109,0,0.3915254479673953,21.544538440796575,-0.0017775613854899008,1.0,47.38511539168789,53
high_vol,E0_ideal,naive-momentum,110,0,0.2614822673061288,9.429649501454422,-0.029678316000708693,1.0,51.76761995087303,40
high_vol,E0_ideal,mean-reversion,101,0,0.011983255742375576,1.0891004173916368,-0.035905780641525054,1.0,52.4576011992078,30
high_vol,E0_ideal,mean-reversion,102,0,0.037592322100633124,4.095378788152922,-0.006121533301888804,1.0,46.20071727876277,14
high_vol,E0_ideal,mean-reversion,103,0,0.030758749439972366,2.8906925034678235,-0.026422973669154026,1.0,72.73428926136852,21
high_vol,E0_ideal,mean-reversion,104,0,-0.012248789785536451,-4.296092173440187,-0.012248789785536451,1.0,20.942194846547718,4
high_vol,E0_ideal,mean-reversion,105,0,0.02096491265360023,4.104467023750851,-0.00010500700000004581,1.0,28.604771645947263,4
high_vol,E0_ideal,mean-reversion,106,0,0.0684984574667522,6.525997067236752,-0.0057181419380927245,1.0,80.64251449952715,15
high_vol,E0_ideal,mean-reversion,107,0,0.03095574592452266,3.21529422253879,-0.01135007856955228,1.0,50.59348386429094,8
high_vol,E0_ideal,mean-reversion,108,0,0.013213510655383898,4.869027849675794,-0.00010500700000004581,1.0,28.393488142644483,5
high_vol,E0_ideal,mean-reversion,109,0,0.026110085614113876,4.717219615060842,-0.001599505287448677,1.0,28.782334694261994,7
high_vol,E0_ideal,mean-reversion,110,0,-0.02578159529935309,-1.4585748510334469,-0.04337859801297217,1.0,42.26666396006933,21
high_vol,E0_ideal,risk-parity,101,0,0.1755479457110738,9.30229126541056,-0.03328080156408142,1.0,25.813729341069365,58
high_vol,E0_ideal,risk-parity,102,0,0.34349568851441337,13.254567877308048,-0.022658699735649268,1.0,33.84694403916574,60
high_vol,E0_ideal,risk-parity,103,0,0.21323051652165614,8.871706439647454,-0.03179183439878963,1.0,21.037289246976414,60
high_vol,E0_ideal,risk-parity,104,0,0.37494541131155623,17.587094824012592,-0.014298688937785298,1.0,29.204557069778694,59
high_vol,E0_ideal,risk-parity,105,0,0.3795636755656966,17.254615358900928,-0.010228301036367737,1.0,26.869249160195967,57
high_vol,E0_ideal,risk-parity,106,0,0.3007117835298214,10.73930582181414,-0.02921679007091227,1.0,27.93608387259957,57
high_vol,E0_ideal,risk-parity,107,0,0.2310068880967746,9.801432399002312,-0.01838038760911964,1.0,25.020337306115856,57
high_vol,E0_ideal,risk-parity,108,0,0.47305362834321163,18.672625535028665,-0.00999573735973247,1.0,22.290499035247365,59
high_vol,E0_ideal,risk-parity,109,0,0.44651937687903565,19.020770927894905,-0.009577023386393324,1.0,20.346556856621874,57
high_vol,E0_ideal,risk-parity,110,0,0.20814409122294042,6.086163204532781,-0.07397688029263028,1.0,31.055850156124595,59
high_vol,E0_ideal,minimum-variance,101,0,0.18319043471528818,9.458913601840806,-0.032539653112530154,1.0,21.515429940918718,59
