agent,agent_type,stress_level,baseline,paired_n,mean_did,did_ci_low,did_ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,llm,E1_default_stress,buy-and-hold,30,-0.024635057792078877,-0.041482621492992096,-0.00932518777593321,0.00399800099950025,0.029318673996335167,-0.5389463123644492
mean-reversion,classical,E1_default_stress,buy-and-hold,30,-0.006752799477690641,-0.0206036149712743,0.00903897676346167,0.3888055972013993,0.534607696151924,-0.15374899359145447
minimum-variance,classical,E1_default_stress,buy-and-hold,30,0.005235415099577549,-0.007257016675952821,0.017816139760668783,0.41329335332333833,0.5348502219478496,0.14811685620690596
naive-momentum,classical,E1_default_stress,buy-and-hold,30,-0.0036733139177324127,-0.017100292454408503,0.008184710654754885,0.5847076461769115,0.676711644177911,-0.09988085600334314
poe:claude-opus-4.7,llm,E1_default_stress,buy-and-hold,30,-0.0065494715866284475,-0.019247895910608055,0.007120284606938057,0.3568215892053973,0.534607696151924,-0.177014179828409
poe:gemini-3.1-pro,llm,E1_default_stress,buy-and-hold,30,-0.005657708937589954,-0.022312458757418174,0.010939199082753485,0.5362318840579711,0.6553945249597424,-0.11729486846204311
poe:glm-5,llm,E1_default_stress,buy-and-hold,30,-0.0053502169213661905,-0.01581372449824529,0.006781936176295202,0.3743128435782109,0.534607696151924,-0.16916549794272123
poe:gpt-5.5,llm,E1_default_stress,buy-and-hold,30,-0.0037022468720059364,-0.01670175082196396,0.009793426266420914,0.6151924037981009,0.676711644177911,-0.10054704272271728
random,classical,E1_default_stress,buy-and-hold,30,0.0024772156241360493,-0.007311403213048451,0.013189350872455378,0.6551724137931034,0.6863711001642037,0.0844848086942156
risk-parity,classical,E1_default_stress,buy-and-hold,30,0.005822208724360334,-0.0041312533179459305,0.015546157456845244,0.2613693153423288,0.4482374197516626,0.20703523329310347
signal-weighted,classical,E1_default_stress,buy-and-hold,30,0.001441880117738222,-0.008323413760778145,0.011276391124646356,0.7891054472763618,0.7891054472763618,0.05120671725479595
deepseek:deepseek-v4-pro,llm,E2_harsh_corner,buy-and-hold,30,-0.039680862003351414,-0.058415423042634175,-0.02047715074047542,0.0004997501249375312,0.005497251374312844,-0.7124333188571603
mean-reversion,classical,E2_harsh_corner,buy-and-hold,30,-0.04475655312629037,-0.065444900573862,-0.02498744218830316,0.0004997501249375312,0.005497251374312844,-0.7837391701376522
minimum-variance,classical,E2_harsh_corner,buy-and-hold,30,-0.009522814021290424,-0.019649378851417525,0.0009152317605010304,0.10694652673663169,0.2663112888000444,-0.314198134727829
naive-momentum,classical,E2_harsh_corner,buy-and-hold,30,-0.013904844032099543,-0.02988875776925766,0.0019316010631556782,0.1024487756121939,0.2663112888000444,-0.3043187060157179
poe:claude-opus-4.7,llm,E2_harsh_corner,buy-and-hold,30,-0.019297222062468013,-0.04161995464229063,0.0018386210759475034,0.09145427286356822,0.2663112888000444,-0.31318034538315614
poe:gemini-3.1-pro,llm,E2_harsh_corner,buy-and-hold,30,-0.022971808542850726,-0.05008700497868056,0.002031818083114158,0.10144927536231885,0.2663112888000444,-0.306531781832447
poe:glm-5,llm,E2_harsh_corner,buy-and-hold,30,-0.01699057779287807,-0.04148454752229718,0.007274871786653741,0.2048975512243878,0.4097951024487756,-0.24033411515215455
poe:gpt-5.5,llm,E2_harsh_corner,buy-and-hold,30,-0.014236167895412651,-0.038055798682859604,0.008306030851881622,0.26486756621689156,0.4482374197516626,-0.21698494527370002
random,classical,E2_harsh_corner,buy-and-hold,30,-0.017607461172857705,-0.03455145798340487,0.004852493321225127,0.08895552223888056,0.2663112888000444,-0.3163298718823874
risk-parity,classical,E2_harsh_corner,buy-and-hold,30,-0.009612248099353245,-0.020194393092876663,0.0007124564826560691,0.1089455272363818,0.2663112888000444,-0.31195070816780557
signal-weighted,classical,E2_harsh_corner,buy-and-hold,30,-0.013063742698960787,-0.029802386401957023,0.004436162578903935,0.13393303348325838,0.29465267366316844,-0.27926017391940416
