scenario,level,agent,agent_type,seed_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,fill_rate_mean,rank
calm,E0_ideal,buy-and-hold,classical,10,23.38072303137593,3.910335013581166,21.123462917034445,25.611246470610087,0.09323299518700723,1.0,1
calm,E0_ideal,deepseek:deepseek-v4-pro,llm,10,9.063474982625502,5.076506445964777,6.093351307802722,12.03942760173498,0.028463044203773397,1.0,10
calm,E0_ideal,mean-reversion,classical,10,2.2576038953812243,2.6574161610843143,0.8444098658379415,3.896078940918245,0.00226523536088723,0.5,12
calm,E0_ideal,minimum-variance,classical,10,23.32328040812185,3.879896267450385,21.096496589518576,25.55631160747392,0.09315670518975523,1.0,2
calm,E0_ideal,naive-momentum,classical,10,19.889266586964105,2.5558330404808287,18.40374746802147,21.37911954808441,0.07968971254197914,1.0,7
calm,E0_ideal,poe:claude-opus-4.7,llm,10,21.366460309520075,2.9434512935270627,19.675814066627318,23.073652036961676,0.08150880091514262,1.0,5
calm,E0_ideal,poe:gemini-3.1-pro,llm,10,18.53701669987531,4.426227927118735,15.986408902536567,21.19481265789242,0.06049723283417572,1.0,8
calm,E0_ideal,poe:glm-5,llm,10,21.23099989030715,2.8322108147608507,19.68684370720964,22.99506766527472,0.07997856958811728,1.0,6
calm,E0_ideal,poe:gpt-5.5,llm,10,21.62669744107658,2.4509299019031223,20.292661369304657,23.149989498331845,0.08263914934959934,1.0,4
calm,E0_ideal,random,classical,10,16.363583340054166,3.017365326756269,14.462444006730857,18.052798959236632,0.06212462652950566,1.0,9
calm,E0_ideal,risk-parity,classical,10,23.113156035199488,3.8031866675530135,20.900763369288548,25.280328201845638,0.08959683354304751,1.0,3
calm,E0_ideal,signal-weighted,classical,10,8.402197864660916,2.1474414575296827,7.120051346320143,9.71192436270386,0.0202811095926414,1.0,11
calm,E1_default_stress,buy-and-hold,classical,10,16.687319256294202,2.3258873276390704,15.351084746861593,18.13006348885495,0.08852658461026035,0.8752225672877847,1
calm,E1_default_stress,deepseek:deepseek-v4-pro,llm,10,10.28658754591379,4.722471343790774,7.424952474830198,12.976879503147538,0.04610388277337069,0.7906168107255064,10
calm,E1_default_stress,mean-reversion,classical,10,2.713712998323601,3.2567412518855936,0.9182779768260737,4.829080332557057,0.004072487266453284,0.37666666666666665,12
calm,E1_default_stress,minimum-variance,classical,10,15.310841006063104,1.8706740108284203,14.259133359616447,16.46279956875761,0.08528417069117578,0.8686100131752305,4
calm,E1_default_stress,naive-momentum,classical,10,15.24807570812483,2.9409877324289506,13.623669478313966,17.03957861994415,0.0732391068572525,0.8612409812409811,5
calm,E1_default_stress,poe:claude-opus-4.7,llm,10,15.40013077982955,3.923603117831815,13.230454150534374,17.798399081362156,0.07551855082065921,0.8823610409422765,3
calm,E1_default_stress,poe:gemini-3.1-pro,llm,10,13.478610206670472,3.2534206771588154,11.562740821110737,15.339879958853583,0.06630870344470464,0.7984044078764576,8
calm,E1_default_stress,poe:glm-5,llm,10,15.188448779183485,3.883351545315393,13.148375450214687,17.632861759271822,0.07460906805191361,0.8612934825385419,7
calm,E1_default_stress,poe:gpt-5.5,llm,10,15.422732360611821,3.7385968879338387,13.35469064784202,17.679834501696824,0.07594888182938926,0.85953933747412,2
calm,E1_default_stress,random,classical,10,11.735335330409816,3.0691464753801747,9.98273022724569,13.67177485357556,0.05444462150790115,0.8622623753058536,9
calm,E1_default_stress,risk-parity,classical,10,15.226491251806085,2.4283834417251975,13.868241396028719,16.75440657022698,0.0800048377166482,0.8744565217391305,6
calm,E1_default_stress,signal-weighted,classical,10,6.402046482576935,2.6615196528358585,4.9591382712058545,8.026621321038046,0.010253143844383361,0.7726923076923077,11
calm,E2_harsh_corner,buy-and-hold,classical,10,14.493539868772299,3.3029459472251133,12.594246899312822,16.409048225217028,0.0722697421087396,0.5105072463768117,3
calm,E2_harsh_corner,deepseek:deepseek-v4-pro,llm,10,11.708947723190976,2.719082052039098,10.186357305576113,13.354167906829963,0.053111346902870504,0.4772092132154052,9
calm,E2_harsh_corner,mean-reversion,classical,10,3.7175762152217766,4.187798977996283,1.477684401929034,6.353410023378009,0.010590444848194514,0.2698412698412699,12
calm,E2_harsh_corner,minimum-variance,classical,10,14.954051843043601,3.052002522839366,13.118237426494982,16.60114176341485,0.07405678915838754,0.5065217391304347,1
calm,E2_harsh_corner,naive-momentum,classical,10,13.315579842957813,2.1332078078840016,12.039434562611493,14.47851894802129,0.07763189328802982,0.5111111111111111,4
calm,E2_harsh_corner,poe:claude-opus-4.7,llm,10,12.743249906254775,3.9872107798149616,10.251975534247311,14.943902336838496,0.06654610809121256,0.49453510257858085,5
calm,E2_harsh_corner,poe:gemini-3.1-pro,llm,10,11.41589409260826,3.3664108497755896,9.311988351854549,13.242492610877065,0.058038774203028984,0.44580557124035386,10
calm,E2_harsh_corner,poe:glm-5,llm,10,12.192733578977151,4.4853486055475305,9.434828148152103,14.715705431038382,0.06356510706219501,0.4582053249841646,7
calm,E2_harsh_corner,poe:gpt-5.5,llm,10,12.65866147166954,4.001062586244405,10.20595715190426,14.850598199823471,0.06658927159964612,0.4788537549407115,6
calm,E2_harsh_corner,random,classical,10,12.162891309375357,3.352942579989128,10.232107673103288,14.173629317985235,0.0599078551589612,0.5107550496795348,8
calm,E2_harsh_corner,risk-parity,classical,10,14.655201729100458,3.149190910933514,12.752556896279117,16.401404772313757,0.07203367186389305,0.5041666666666667,2
calm,E2_harsh_corner,signal-weighted,classical,10,7.4364706067976325,2.9130226414685207,5.654826846144092,9.011279492773571,0.016799098882548113,0.33131221719457016,11
calm,E2_latency_3,buy-and-hold,classical,10,14.99240559008724,3.364920397343363,13.050204514628401,16.94746267502513,0.07418307541098561,0.5083333333333333,3
calm,E2_latency_3,deepseek:deepseek-v4-pro,llm,10,12.809958566483616,3.041334501727113,11.069257592483385,14.644740829238907,0.06055195851445907,0.4985699542975085,8
calm,E2_latency_3,mean-reversion,classical,10,3.9483557163899192,4.421306646781657,1.5693052688371192,6.709606899102089,0.011266527900678081,0.2698412698412699,12
calm,E2_latency_3,minimum-variance,classical,10,15.4516877019724,3.0875634817346103,13.592631209530023,17.095067262635247,0.07596595063863296,0.5019927536231884,1
calm,E2_latency_3,naive-momentum,classical,10,13.684949480329518,2.1297211933336238,12.408935432600927,14.850739363492355,0.07998061027399117,0.5246248196248195,4
calm,E2_latency_3,poe:claude-opus-4.7,llm,10,13.256874465813462,3.9336954448569483,10.840433019197654,15.420441738823698,0.06922600535837789,0.4873922454357237,5
calm,E2_latency_3,poe:gemini-3.1-pro,llm,10,12.016301329021804,3.5253269236000624,9.831471056294665,13.9782652468414,0.06082549434336602,0.4393214756258234,10
calm,E2_latency_3,poe:glm-5,llm,10,12.826120950109845,4.2554969316897955,10.215261097044111,15.177531622109095,0.06679840435419863,0.4702277432712215,7
calm,E2_latency_3,poe:gpt-5.5,llm,10,13.177063648490218,3.9301525143077467,10.76081753164302,15.342989167303756,0.06939864515913466,0.4871757952192735,6
calm,E2_latency_3,random,classical,10,12.646427809335927,3.390846654669109,10.692705353352938,14.660504649179808,0.062109600948124365,0.5275271181907337,9
calm,E2_latency_3,risk-parity,classical,10,15.151701061426689,3.1894954424164386,13.221341248404332,16.924438272042398,0.07399097211276211,0.5019927536231884,2
calm,E2_latency_3,signal-weighted,classical,10,7.899604331548581,2.9257360889838457,6.127437636986018,9.484772084884307,0.01770935062231589,0.33131221719457016,11
calm,E2_participation_1pct,buy-and-hold,classical,10,16.687319256294202,2.3258873276390704,15.351084746861593,18.13006348885495,0.08852658461026035,0.8752225672877847,1
calm,E2_participation_1pct,deepseek:deepseek-v4-pro,llm,10,10.483777828987321,4.593877042429582,7.52390942906427,13.115096058641182,0.04369450591749169,0.7967690642690644,10
calm,E2_participation_1pct,mean-reversion,classical,10,2.713712998323601,3.2567412518855936,0.9182779768260737,4.829080332557057,0.004072487266453284,0.37666666666666665,12
calm,E2_participation_1pct,minimum-variance,classical,10,15.310841006063104,1.8706740108284203,14.259133359616447,16.46279956875761,0.08528417069117578,0.8686100131752305,4
calm,E2_participation_1pct,naive-momentum,classical,10,15.24807570812483,2.9409877324289506,13.623669478313966,17.03957861994415,0.0732391068572525,0.8612409812409811,5
calm,E2_participation_1pct,poe:claude-opus-4.7,llm,10,15.392449832542038,3.928353238480199,13.210266990100815,17.77821192092859,0.07539906326060701,0.8741520798042537,3
calm,E2_participation_1pct,poe:gemini-3.1-pro,llm,10,13.670948493174308,3.4076727130613267,11.694720464603284,15.658881456281213,0.06595852563102182,0.7848531902879728,8
calm,E2_participation_1pct,poe:glm-5,llm,10,15.24244976177539,3.8829771009413534,13.177852800418018,17.686862741863727,0.07395179127871435,0.8565137398833051,6
calm,E2_participation_1pct,poe:gpt-5.5,llm,10,15.43523941234129,3.7236735714902887,13.375438215802575,17.695440597653974,0.07584477090057136,0.8563090532655749,2
calm,E2_participation_1pct,random,classical,10,11.735335330409816,3.0691464753801747,9.98273022724569,13.67177485357556,0.05444462150790115,0.8622623753058536,9
calm,E2_participation_1pct,risk-parity,classical,10,15.226491251806085,2.4283834417251975,13.868241396028719,16.75440657022698,0.0800048377166482,0.8744565217391305,7
calm,E2_participation_1pct,signal-weighted,classical,10,6.402046482576935,2.6615196528358585,4.9591382712058545,8.026621321038046,0.010253143844383361,0.7726923076923077,11
calm,E2_spread_20bps,buy-and-hold,classical,10,15.9410516463364,2.2846992278181335,14.634828156789988,17.358801264777775,0.08547715952509889,0.8847567287784679,1
calm,E2_spread_20bps,deepseek:deepseek-v4-pro,llm,10,9.68632475474841,3.2363581272862745,7.809232294696476,11.694075348361867,0.04009863715235447,0.7996122303236316,10
calm,E2_spread_20bps,mean-reversion,classical,10,2.3474761321264634,3.049942043299143,0.5627986858442826,4.297490672084619,0.0035024206484612686,0.37666666666666665,12
calm,E2_spread_20bps,minimum-variance,classical,10,14.604792799002444,1.7693216907029232,13.609965310543526,15.688123035071309,0.08219163813568912,0.8740942028985508,3
calm,E2_spread_20bps,naive-momentum,classical,10,14.487242273539959,2.822701102918663,12.920038112222679,16.202879603477335,0.06999387506430102,0.867745879851143,5
calm,E2_spread_20bps,poe:claude-opus-4.7,llm,10,14.528311649356576,3.766265822168178,12.453017794791247,16.8252256159672,0.07168191948084697,0.8740956145303972,4
calm,E2_spread_20bps,poe:gemini-3.1-pro,llm,10,12.370978074171749,3.119622980831322,10.64097516358667,14.314073702668079,0.0629380800517915,0.8192005458309806,8
calm,E2_spread_20bps,poe:glm-5,llm,10,13.853799969888607,3.7450519977959025,11.77026631741541,16.132961615978132,0.06480983889677058,0.8624597561096417,7
calm,E2_spread_20bps,poe:gpt-5.5,llm,10,14.609459055555897,3.613526939842782,12.613410623927525,16.783653605067897,0.07211032144383203,0.8562525879917183,2
calm,E2_spread_20bps,random,classical,10,10.924426593033,3.070541380281592,9.167730958149807,12.849790663514337,0.05068015117149245,0.8691887822322604,9
calm,E2_spread_20bps,risk-parity,classical,10,14.461566642747167,2.379755711922943,13.143096670905084,15.945258015635764,0.07667905539929618,0.8782608695652174,6
calm,E2_spread_20bps,signal-weighted,classical,10,5.672001964795844,2.4705202129512154,4.268105840492476,7.156793387873823,0.00885131128262564,0.7726923076923077,11
high_vol,E0_ideal,buy-and-hold,classical,10,10.950593866169417,3.3749947312126576,8.99375970624543,12.917067125937539,0.09944041078606314,1.0,2
high_vol,E0_ideal,deepseek:deepseek-v4-pro,llm,10,8.185637534274933,4.422836922176517,5.6381390245509,10.774766832231759,0.050224161232611156,1.0,9
high_vol,E0_ideal,mean-reversion,classical,10,3.720621077474351,5.503488055990646,0.2494855963803484,6.7293820453763775,0.016561190973894337,1.0,12
high_vol,E0_ideal,minimum-variance,classical,10,10.074621522734477,3.571070659633242,8.039512271547412,12.1824307008796,0.08551942615117532,1.0,4
high_vol,E0_ideal,naive-momentum,classical,10,10.901615667832761,4.686818764363878,8.251810081232048,13.783128928637577,0.07792125514973047,1.0,3
high_vol,E0_ideal,poe:claude-opus-4.7,llm,10,9.015759122125683,4.815277277081929,6.0959915494988675,11.87964250787093,0.07102369580408838,1.0,8
high_vol,E0_ideal,poe:gemini-3.1-pro,llm,10,7.707780480401833,5.338581919736558,4.56210226568341,10.753106775452546,0.056748320540454866,1.0,10
high_vol,E0_ideal,poe:glm-5,llm,10,9.2239432424922,4.764465721055478,6.334835122586758,12.022840828897083,0.06902126133664624,1.0,6
high_vol,E0_ideal,poe:gpt-5.5,llm,10,9.023429992117226,4.727121836193073,6.1593355603502316,11.864506248336387,0.0713046148525803,1.0,7
high_vol,E0_ideal,random,classical,10,9.347796831432795,3.934758654757689,7.2635816533816975,11.734435264860487,0.07334494736840833,1.0,5
high_vol,E0_ideal,risk-parity,classical,10,11.071574566908637,4.1256190813634435,8.79647696248388,13.580169127191557,0.09000406145981402,1.0,1
high_vol,E0_ideal,signal-weighted,classical,10,6.12825801875413,5.534545347859295,2.646485901310956,8.98812116235554,0.011885069840953088,1.0,11
high_vol,E1_default_stress,buy-and-hold,classical,10,9.457126199058056,3.4765322961622958,7.455035020974362,11.574030973178683,0.10444202377001273,0.8317028985507247,3
high_vol,E1_default_stress,deepseek:deepseek-v4-pro,llm,10,9.51163965544013,3.11349205500158,7.787117114542508,11.455767085882288,0.07615212778301449,0.8264556154038251,2
high_vol,E1_default_stress,mean-reversion,classical,10,3.3014633682810546,4.919245747707288,0.2431005476198278,5.904811955612184,0.027917489540152184,0.8148178210678211,12
high_vol,E1_default_stress,minimum-variance,classical,10,8.559488005869916,3.031438715317515,6.714978230355065,10.330470376639067,0.08102443972349953,0.8376207729468599,8
high_vol,E1_default_stress,naive-momentum,classical,10,8.260306302334955,3.0763338304411723,6.421884995649771,10.114656113618981,0.07539961253687841,0.842764196587726,9
high_vol,E1_default_stress,poe:claude-opus-4.7,llm,10,9.218349286429811,2.796610909736378,7.588104849731313,10.837342200978366,0.081770969970645,0.8642600324922979,4
high_vol,E1_default_stress,poe:gemini-3.1-pro,llm,10,8.648813101121755,3.1247380658824215,6.847668763321583,10.595321704292337,0.07334767885988284,0.8043140459845265,7
high_vol,E1_default_stress,poe:glm-5,llm,10,9.591574476367505,3.114525593966015,7.828999904727172,11.455393013897506,0.0788513251825779,0.8454651188538657,1
high_vol,E1_default_stress,poe:gpt-5.5,llm,10,9.061920522058518,2.9691131913559197,7.339810191832522,10.823358182100398,0.07765489385295932,0.8533875063443309,5
high_vol,E1_default_stress,random,classical,10,7.750070297281873,4.2244304850004895,5.064736898402521,10.033100752747796,0.07960267665771993,0.8004611330698287,10
high_vol,E1_default_stress,risk-parity,classical,10,8.692964055857043,3.6636770471175653,6.57492761795041,10.899723234157841,0.08721094141119834,0.8536231884057971,6
high_vol,E1_default_stress,signal-weighted,classical,10,4.849032766195824,5.196522658739272,1.3725741342478852,7.159980348418347,0.012389027065979875,0.7796153846153847,11
high_vol,E2_harsh_corner,buy-and-hold,classical,10,9.204788202594347,4.179427227359913,6.975072157332086,11.763128997639638,0.09238140074643282,0.4875,4
high_vol,E2_harsh_corner,deepseek:deepseek-v4-pro,llm,10,7.474077716177194,4.42049767421512,4.964709406208204,10.008412053281283,0.08703498836412767,0.5189516888626796,9
high_vol,E2_harsh_corner,mean-reversion,classical,10,5.101777952891302,5.337498932226598,1.9612116655374372,8.106696187802225,0.04268482438028063,0.4481188745894628,11
high_vol,E2_harsh_corner,minimum-variance,classical,10,10.127844162653492,3.284099854954191,8.375045912594725,12.081038964172777,0.09858250330452731,0.4667193675889328,1
high_vol,E2_harsh_corner,naive-momentum,classical,10,7.087751775861482,4.049989976093225,4.4925246150838145,9.250333701372552,0.06939887689310988,0.4737518037518037,10
high_vol,E2_harsh_corner,poe:claude-opus-4.7,llm,10,8.009779406672275,3.926848335208853,5.710581222327264,10.257805338453283,0.09723682168475947,0.5362700435211877,8
