scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E0_ideal,buy-and-hold,1,0,0.09855041346154736,20.2800460581701,-0.0020686777648989407,1.0,14.978913720423348
calm,E0_ideal,buy-and-hold,2,0,0.09844345809878097,24.307141534008217,0.0,1.0,14.960808422860417
calm,E0_ideal,buy-and-hold,3,0,0.08566876305685445,18.09033932420265,-0.0015185629874537865,1.0,15.234026743392988
calm,E0_ideal,buy-and-hold,4,0,0.08678323547268096,23.375091026866254,-0.001334926363622757,1.0,15.119050981875159
calm,E0_ideal,buy-and-hold,5,0,0.08771896609077001,28.81274756088492,0.0,1.0,14.730459146018312
calm,E0_ideal,buy-and-hold,6,0,0.11688673938025307,24.654767531222536,-0.001953454727363857,1.0,14.93197063719618
calm,E0_ideal,buy-and-hold,7,0,0.07295511530585519,17.319149709819364,-0.006347634504755617,1.0,14.947766925732786
calm,E0_ideal,buy-and-hold,8,0,0.06991999638995616,25.336808221299382,0.0,1.0,14.748846237787822
calm,E0_ideal,buy-and-hold,9,0,0.10042930304557296,23.022733998131123,0.0,1.0,15.001697528603422
calm,E0_ideal,buy-and-hold,10,0,0.11497396156780115,28.608405349154744,-0.005014687897026415,1.0,15.240792135397582
calm,E0_ideal,signal-weighted,1,0,0.022515378530180152,6.112076846155048,-0.0012883228958850967,1.0,27.925811152608883
calm,E0_ideal,signal-weighted,2,0,0.02031268360974181,5.645156198660219,-7.481011200194398e-05,1.0,14.10875360211811
calm,E0_ideal,signal-weighted,3,0,0.023322420221814077,10.259571476111068,-3.353848497111844e-05,1.0,40.00814752016443
calm,E0_ideal,signal-weighted,4,0,0.014548446963162487,6.407814114912156,-0.001949085136512596,1.0,41.955848814880966
calm,E0_ideal,signal-weighted,5,0,0.016759559135384627,7.628449060606908,-3.3538484971229465e-05,1.0,14.02702380177763
calm,E0_ideal,signal-weighted,6,0,0.027414284932017585,11.01690020168857,-3.353848497111844e-05,1.0,42.36514381813163
calm,E0_ideal,signal-weighted,7,0,0.014834789489644118,6.682010161133088,-3.3538484971229465e-05,1.0,12.032623421493312
calm,E0_ideal,signal-weighted,8,0,0.010570647286154866,11.246827345369343,-0.00010500700000004581,1.0,27.528315809699457
calm,E0_ideal,signal-weighted,9,0,0.022875052940449336,9.887353872204377,-0.00010500700000004581,1.0,28.165204842866682
calm,E0_ideal,signal-weighted,10,0,0.029657832817864938,9.135819369768392,-0.00010500700000004581,1.0,28.334570713069727
calm,E0_ideal,naive-momentum,1,0,0.0802636784748012,17.069448538091677,-0.0020677706415853647,1.0,24.533683973794393
calm,E0_ideal,naive-momentum,2,0,0.09097204619327748,21.155801744492887,-0.0002100139999999806,1.0,19.526882673293954
calm,E0_ideal,naive-momentum,3,0,0.06428873333671614,16.156361131159542,-0.001529942786711147,1.0,35.918530419965336
calm,E0_ideal,naive-momentum,4,0,0.06906933135347604,17.49032089635358,-0.0017407896021852665,1.0,24.868419482520643
calm,E0_ideal,naive-momentum,5,0,0.07897852058980437,24.637452989489095,-0.00010500700000004581,1.0,14.555058598858775
calm,E0_ideal,naive-momentum,6,0,0.10292880379000291,19.912327678050836,-0.0021632651192563523,1.0,14.84389927565091
calm,E0_ideal,naive-momentum,7,0,0.06547991536032094,19.87329843455055,-0.00010500700000004581,1.0,16.765072905258613
calm,E0_ideal,naive-momentum,8,0,0.05514584680840251,21.926610084321503,-0.00010500700000004581,1.0,19.97697323989621
calm,E0_ideal,naive-momentum,9,0,0.09014617662625013,19.22863092737827,-0.00010500700000004581,1.0,19.5193089483259
calm,E0_ideal,naive-momentum,10,0,0.09962407288673969,21.442413445753107,-0.005760573745104969,1.0,24.26255809455507
calm,E0_ideal,mean-reversion,1,0,0.0,0.0,0.0,0.0,0.0
calm,E0_ideal,mean-reversion,2,0,0.0,0.0,0.0,0.0,0.0
calm,E0_ideal,mean-reversion,3,0,0.0,0.0,0.0,0.0,0.0
calm,E0_ideal,mean-reversion,4,0,0.003137625068562633,4.614036594276575,-0.00010500700000004581,1.0,14.06697259180846
calm,E0_ideal,mean-reversion,5,0,0.004192598871948672,5.154794709381822,-0.00010500700000004581,1.0,14.088078399194263
calm,E0_ideal,mean-reversion,6,0,0.0,0.0,0.0,0.0,0.0
calm,E0_ideal,mean-reversion,7,0,0.0038336241653520453,1.6446519744987966,-0.006455012009267236,1.0,14.283455432846473
calm,E0_ideal,mean-reversion,8,0,0.006763901892481883,6.491511997444503,-0.00010500700000004581,1.0,14.139519891027229
calm,E0_ideal,mean-reversion,9,0,0.004724603610527067,4.671043678210547,-0.00010500700000004581,1.0,14.098721686744316
calm,E0_ideal,mean-reversion,10,0,0.0,0.0,0.0,0.0,0.0
calm,E0_ideal,risk-parity,1,0,0.09488550634329806,19.698226049668346,-0.002068841525220244,1.0,25.601857106842573
calm,E0_ideal,risk-parity,2,0,0.0979058936538506,24.522676242042728,0.0,1.0,15.793531311336027
calm,E0_ideal,risk-parity,3,0,0.07898976372455802,19.345372519380366,-0.0015185629875936746,1.0,25.865156911209564
calm,E0_ideal,risk-parity,4,0,0.08643737586672873,23.449803322426273,-0.0013330707741064929,1.0,17.1030113547672
calm,E0_ideal,risk-parity,5,0,0.08453032330875598,28.512905897540218,0.0,1.0,21.394977631300215
calm,E0_ideal,risk-parity,6,0,0.11688673938025307,24.654767531222536,-0.001953454727363857,1.0,14.93197063719618
calm,E0_ideal,risk-parity,7,0,0.06471379595785387,16.429408622269108,-0.0064091194337121404,1.0,25.32727648684973
calm,E0_ideal,risk-parity,8,0,0.06838154599756607,25.563916051760586,0.0,1.0,21.543118432639222
