scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost,turnover_events
calm,E0_ideal,glm:glm-5+mem,1,0,0.08530913879063418,16.362657436620832,-0.0021717473073782356,1.0,57.22072463739058,24
calm,E0_ideal,glm:glm-5+mem,2,0,0.07748028635220972,22.560634793881295,-0.0004460321212154117,1.0,59.29736756787743,23
calm,E0_ideal,glm:glm-5+mem,3,0,0.06470803410855952,21.303551292489708,-0.0022023516931232168,1.0,86.95551615832153,24
calm,E0_ideal,glm:glm-5+mem,4,0,0.07829341428797143,20.969199610749875,-0.0014384567163497897,1.0,57.3478277553858,21
calm,E0_ideal,glm:glm-5+mem,5,0,0.08114495200470428,25.19685502944044,-0.00010500700000004581,1.0,18.716738701414716,20
calm,E0_ideal,glm:glm-5+mem,6,0,0.10956033877945037,21.524809330327255,-0.0036514870959180046,1.0,43.03992802271113,22
calm,E0_ideal,glm:glm-5+mem,7,0,0.05419519401291217,19.187322286679674,0.0,1.0,57.97686290868081,20
calm,E0_ideal,glm:glm-5+mem,8,0,0.06715876273685728,24.062255120262783,0.0,1.0,50.357041578200715,23
calm,E0_ideal,glm:glm-5+mem,9,0,0.07118240756873795,15.51558181628227,-0.0020769067459615043,1.0,44.82576307576958,19
calm,E0_ideal,glm:glm-5+mem,10,0,0.0983086073064594,22.194288217758317,-0.0062398862657054854,1.0,43.07041998351962,22
calm,E1_default_stress,glm:glm-5+mem,1,0,0.08022078545579947,12.804904018521476,-0.002213411528830367,0.9047619047619048,800.9529387892117,19
calm,E1_default_stress,glm:glm-5+mem,2,0,0.08460246664124216,15.968894559318214,-0.0012307564478712951,0.8636363636363636,633.9432731284286,19
calm,E1_default_stress,glm:glm-5+mem,3,0,0.06710678501977041,10.571039627279795,-0.0013457787217434625,0.8695652173913043,830.5957280959572,20
calm,E1_default_stress,glm:glm-5+mem,4,0,0.06590952983217369,16.915526132548678,-0.0033116652929873203,0.8636363636363636,591.9189020694887,19
calm,E1_default_stress,glm:glm-5+mem,5,0,0.07152738607757714,21.823607008733028,-0.0006962333397607656,0.8571428571428571,955.2822118584576,18
calm,E1_default_stress,glm:glm-5+mem,6,0,0.08273441465866682,12.905176585079127,-0.003728902274806156,0.8260869565217391,888.8628248654652,19
calm,E1_default_stress,glm:glm-5+mem,7,0,0.0627868696554923,17.87010342287332,-0.0008398349500295943,0.8947368421052632,601.5892200392242,17
calm,E1_default_stress,glm:glm-5+mem,8,0,0.06435537627872656,12.706839170157613,-0.0015674496539717087,0.8636363636363636,657.8710701554882,19
calm,E1_default_stress,glm:glm-5+mem,9,0,0.061806840433743515,10.462534535942211,-0.008394547915742456,0.8636363636363636,830.0716130874353,19
calm,E1_default_stress,glm:glm-5+mem,10,0,0.09519561000527488,14.476377996614078,-0.01028735092810118,0.8636363636363636,915.6458597075665,19
calm,E2_harsh_corner,glm:glm-5+mem,1,0,0.04792879137377426,8.284995090273092,-0.005392309639492332,0.4090909090909091,868.1909912854234,9
calm,E2_harsh_corner,glm:glm-5+mem,2,0,0.06255904106144627,14.348383473006656,-0.0030790207032564965,0.43478260869565216,620.591991266844,10
calm,E2_harsh_corner,glm:glm-5+mem,3,0,0.017109029907709683,3.2014917769175826,-0.0037216758995672894,0.3181818181818182,876.9299887560642,7
calm,E2_harsh_corner,glm:glm-5+mem,4,0,0.06030131617673873,11.215374477493095,-0.0017118154250335138,0.45454545454545453,671.2771206542947,10
calm,E2_harsh_corner,glm:glm-5+mem,5,0,0.06785092674255955,12.728980737598285,-0.0014432840777296452,0.5238095238095238,742.3486772115663,11
calm,E2_harsh_corner,glm:glm-5+mem,6,0,0.10741038488454491,16.49995848535447,-0.001879083178372487,0.5454545454545454,588.3521462694895,12
calm,E2_harsh_corner,glm:glm-5+mem,7,0,0.07908413929715863,13.70057868346117,-0.0009900932850415156,0.5,1012.5955262185679,10
calm,E2_harsh_corner,glm:glm-5+mem,8,0,0.030812634206694556,11.244568783223722,-0.0025154942477964015,0.47619047619047616,731.683240000528,10
calm,E2_harsh_corner,glm:glm-5+mem,9,0,0.06709683708568592,13.077317966269728,-0.004693329711734862,0.5,513.6505782633644,9
calm,E2_harsh_corner,glm:glm-5+mem,10,0,0.09911142075374846,18.753144883468096,-0.0014179326050066665,0.5238095238095238,695.2066764451644,11
high_vol,E0_ideal,glm:glm-5+mem,101,0,0.07887800709439641,9.549779405799745,-0.020694845965051445,1.0,76.32331616427936,17
high_vol,E0_ideal,glm:glm-5+mem,102,0,0.024690448186463154,3.143733340220205,-0.01248649041291816,1.0,91.67404571188418,19
high_vol,E0_ideal,glm:glm-5+mem,103,0,0.026824235582457723,4.056002590361197,-0.019753447806588498,1.0,104.21978332959438,22
high_vol,E0_ideal,glm:glm-5+mem,104,0,0.11074667443249075,13.789687162490594,-0.005479236595436032,1.0,59.946047948284836,23
high_vol,E0_ideal,glm:glm-5+mem,105,0,0.08293981017567442,8.801196890014971,-0.01528331459957899,1.0,73.4865065121294,22
high_vol,E0_ideal,glm:glm-5+mem,106,0,0.028689303776819663,4.975432922433363,-0.01165789640623982,1.0,93.62181666101365,18
high_vol,E0_ideal,glm:glm-5+mem,107,0,0.0916122256866645,12.727290069724411,-0.0036730661806012588,1.0,66.1192477093854,23
high_vol,E0_ideal,glm:glm-5+mem,108,0,0.02468819522635024,6.168357624551617,-0.011687349012275194,1.0,99.53952327777816,23
high_vol,E0_ideal,glm:glm-5+mem,109,0,0.09344989322625308,14.690274705724773,-0.004697331652354975,1.0,48.51833394974129,18
high_vol,E0_ideal,glm:glm-5+mem,110,0,0.1494558978025906,12.75435042057195,-0.012157931027211633,1.0,50.75111853958138,20
high_vol,E1_default_stress,glm:glm-5+mem,101,0,0.05058307217797897,6.367519754300268,-0.0071344834768166665,0.8125,1272.2810117866186,13
high_vol,E1_default_stress,glm:glm-5+mem,102,0,0.046645663431982065,8.120336902959393,-0.006950851305798755,0.8823529411764706,893.0167213613307,15
high_vol,E1_default_stress,glm:glm-5+mem,103,0,0.07875472358792157,12.742640485620978,-0.009394328975221633,0.9,411.9057249603431,18
high_vol,E1_default_stress,glm:glm-5+mem,104,0,0.1252847832071473,11.616018055324103,-0.0017090638555545823,0.8333333333333334,1021.1175942728888,20
high_vol,E1_default_stress,glm:glm-5+mem,105,0,0.1136302532050093,13.927140703302657,-0.002681566258453061,0.8695652173913043,1017.8982066015684,20
high_vol,E1_default_stress,glm:glm-5+mem,106,0,0.04969050668360642,4.9152866945235605,-0.02698588987349093,0.8235294117647058,1305.2768939362752,14
high_vol,E1_default_stress,glm:glm-5+mem,107,0,0.10064001279130319,10.772591607460637,-0.013724864497717038,0.9130434782608695,883.1052530471322,21
high_vol,E1_default_stress,glm:glm-5+mem,108,0,0.05075089790670306,7.571926811812571,-0.009383684455941732,0.8571428571428571,1439.724274436476,18
high_vol,E1_default_stress,glm:glm-5+mem,109,0,0.07988717239762422,11.952297638407366,-0.01650586100229945,0.7894736842105263,1640.0874984534412,15
