scenario,level,agent,run_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,rank
calm,E0_ideal,buy-and-hold,10,47.371005373133904,6.7348691651467805,43.42128820220069,51.23411437049261,0.09606950768286263,1
calm,E0_ideal,mean-reversion,10,-2.9046718520502064,4.380015449029126,-5.374668738666963,-0.40444089412708345,-0.006806274833686898,8
calm,E0_ideal,minimum-variance,10,44.25310191418249,8.549333974483526,39.478090602060306,49.51140084580584,0.09502589405478061,2
calm,E0_ideal,naive-momentum,10,33.38091643047146,2.841485582199735,31.654638686521423,34.96906452974697,0.12360712815682484,5
calm,E0_ideal,no-trade-band,10,38.19293476364996,8.720696567401758,33.262886476748164,43.30427926569249,0.08666861124098724,3
calm,E0_ideal,random,10,22.57300057088719,6.202743960732974,19.77822390863551,26.746897901109207,0.06867032462146275,6
calm,E0_ideal,risk-parity,10,37.82447309564907,8.102200238955996,32.92220192496098,42.50646539268739,0.08995549257707007,4
calm,E0_ideal,signal-weighted,10,13.767236316734017,3.5521472078652017,11.735795002810287,15.91508394152128,0.03912035343369149,7
calm,E1_default_stress,buy-and-hold,10,28.363410393399896,2.2793391457616647,26.994751246910294,29.615865363035834,0.0846656329189597,1
calm,E1_default_stress,mean-reversion,10,-3.9935848452592175,3.964464014149443,-6.101672077888548,-1.4954843208217945,-0.010881047028509738,8
calm,E1_default_stress,minimum-variance,10,25.13976267874548,4.240943702130504,22.531359523636855,27.531967348587678,0.07723337822557744,2
calm,E1_default_stress,naive-momentum,10,22.7351125125895,2.0086224657836915,21.504023480184838,23.84504912226499,0.09884767304861788,3
calm,E1_default_stress,no-trade-band,10,22.420786148412823,3.8299261679282255,20.187537371765366,24.689933772262794,0.06975335480666985,4
calm,E1_default_stress,random,10,17.742612345162744,3.1956612452239344,15.864842673384445,19.738480580461243,0.05584243113481169,6
calm,E1_default_stress,risk-parity,10,22.32159571361376,4.79314564148546,19.412678359393784,24.917167394033562,0.06723701115554319,5
calm,E1_default_stress,signal-weighted,10,10.562659039514084,4.083005837978995,8.28952108644977,13.026912617470424,0.04240793730979322,7
calm,E2_harsh_corner,buy-and-hold,10,17.649847159522224,1.1002054054188284,17.00686630486559,18.3091490660916,0.06356004134418272,1
calm,E2_harsh_corner,mean-reversion,10,1.452402708589558,5.55799773792189,-1.7661368464368334,4.710032596368423,0.0033431852967382714,8
calm,E2_harsh_corner,minimum-variance,10,17.166515315491967,1.264588240765021,16.43105343839037,17.89918646408005,0.061077027358529754,2
calm,E2_harsh_corner,naive-momentum,10,14.503280333382756,1.6346103598997508,13.509024146770154,15.359443549652127,0.06981204701301058,5
calm,E2_harsh_corner,no-trade-band,10,16.996254420657174,1.83634637676104,15.842909391109412,17.90507864986401,0.0606396683190558,3
