domain,model,gap,commit_recall,n,wilson_lo,wilson_hi,trend_stat_rank_cov,trend_p
trading,deepseek:deepseek-v4-pro,0.0,0.933,60,0.841,0.974,-85.0,0.0001
trading,deepseek:deepseek-v4-pro,0.05,0.533,60,0.409,0.654,-85.0,0.0001
trading,deepseek:deepseek-v4-pro,0.15,0.517,60,0.393,0.638,-85.0,0.0001
trading,deepseek:deepseek-v4-pro,0.3,0.383,60,0.271,0.51,-85.0,0.0001
trading,deepseek:deepseek-v4-pro,0.5391666666666662,0.3,60,0.199,0.425,-85.0,0.0001
trading,glm:glm-5,0.0,0.783,60,0.664,0.869,-66.0,0.0001
trading,glm:glm-5,0.05,0.433,60,0.316,0.559,-66.0,0.0001
trading,glm:glm-5,0.15,0.367,60,0.256,0.493,-66.0,0.0001
trading,glm:glm-5,0.3,0.267,60,0.171,0.39,-66.0,0.0001
trading,glm:glm-5,0.5391666666666662,0.317,60,0.213,0.442,-66.0,0.0001
trading,poe:claude-opus-4.7,0.0,1.0,19,0.832,1.0,-2.0,0.1232
trading,poe:claude-opus-4.7,0.6249999999999999,0.8,20,0.584,0.919,-2.0,0.1232
trading,poe:gemini-3.1-pro,0.0,1.0,20,0.839,1.0,0.0,1.0000
trading,poe:gemini-3.1-pro,0.4666666666666666,1.0,21,0.845,1.0,0.0,1.0000
tooluse,deepseek:deepseek-v4-pro,0.0,0.975,40,0.871,0.996,-12.0,0.0317
tooluse,deepseek:deepseek-v4-pro,0.0312,0.825,40,0.68,0.913,-12.0,0.0317
tooluse,deepseek:deepseek-v4-pro,0.125,0.85,40,0.709,0.929,-12.0,0.0317
tooluse,deepseek:deepseek-v4-pro,0.375,0.925,40,0.801,0.974,-12.0,0.0317
tooluse,deepseek:deepseek-v4-pro,0.6883921875000001,0.775,40,0.625,0.877,-12.0,0.0317
tooluse,glm:glm-5,0.0,1.0,40,0.912,1.0,-47.0,0.0001
tooluse,glm:glm-5,0.0312,0.575,40,0.422,0.715,-47.0,0.0001
tooluse,glm:glm-5,0.125,0.425,40,0.285,0.578,-47.0,0.0001
tooluse,glm:glm-5,0.375,0.5,40,0.352,0.648,-47.0,0.0001
tooluse,glm:glm-5,0.6883921875000001,0.45,40,0.307,0.602,-47.0,0.0001
tooluse,poe:claude-opus-4.7,0.0,1.0,14,0.785,1.0,-5.0,0.0022
tooluse,poe:claude-opus-4.7,0.6697410714285715,0.286,14,0.117,0.546,-5.0,0.0022
tooluse,poe:gemini-3.1-pro,0.0,1.0,40,0.912,1.0,-14.0,0.0001
tooluse,poe:gemini-3.1-pro,0.0312,0.75,4,0.301,0.954,-14.0,0.0001
tooluse,poe:gemini-3.1-pro,0.125,0.333,3,0.061,0.792,-14.0,0.0001
tooluse,poe:gemini-3.1-pro,0.375,0.667,3,0.208,0.939,-14.0,0.0001
tooluse,poe:gemini-3.1-pro,0.6883921875000001,0.55,40,0.398,0.693,-14.0,0.0001
