family,family_label,layer,count,pct,ci_low_pct,ci_high_pct,family_total
F1,identifier pollution,schema_validation,38,63.33,50.68,74.38,60
F1,identifier pollution,single_artifact_validator,4,6.67,2.62,15.93,60
F1,identifier pollution,approval_hash_binding,11,18.33,10.56,29.92,60
F1,identifier pollution,cross_artifact_preflight,0,0.0,0.0,6.02,60
F1,identifier pollution,orchestrator_revalidation,0,0.0,0.0,6.02,60
F1,identifier pollution,total_intercepted,53,88.33,77.82,94.23,60
F1,identifier pollution,escape,7,11.67,,,60
F2,capability overreach,schema_validation,37,61.67,49.02,72.91,60
F2,capability overreach,single_artifact_validator,2,3.33,0.92,11.36,60
F2,capability overreach,approval_hash_binding,11,18.33,10.56,29.92,60
F2,capability overreach,cross_artifact_preflight,7,11.67,5.77,22.18,60
F2,capability overreach,orchestrator_revalidation,0,0.0,0.0,6.02,60
F2,capability overreach,total_intercepted,57,95.0,86.3,98.29,60
F2,capability overreach,escape,3,5.0,,,60
F3,approval bypass & replay,schema_validation,37,61.67,49.02,72.91,60
F3,approval bypass & replay,single_artifact_validator,2,3.33,0.92,11.36,60
F3,approval bypass & replay,approval_hash_binding,11,18.33,10.56,29.92,60
F3,approval bypass & replay,cross_artifact_preflight,0,0.0,0.0,6.02,60
F3,approval bypass & replay,orchestrator_revalidation,4,6.67,2.62,15.93,60
F3,approval bypass & replay,total_intercepted,54,90.0,79.85,95.34,60
F3,approval bypass & replay,escape,6,10.0,,,60
F4,response mismatch,schema_validation,43,71.67,59.23,81.49,60
F4,response mismatch,single_artifact_validator,6,10.0,4.66,20.15,60
F4,response mismatch,approval_hash_binding,0,0.0,0.0,6.02,60
F4,response mismatch,cross_artifact_preflight,5,8.33,3.61,18.07,60
F4,response mismatch,orchestrator_revalidation,0,0.0,0.0,6.02,60
F4,response mismatch,total_intercepted,54,90.0,79.85,95.34,60
F4,response mismatch,escape,6,10.0,,,60
F5,clock & timestamp,schema_validation,49,81.67,70.08,89.44,60
F5,clock & timestamp,single_artifact_validator,1,1.67,0.29,8.86,60
F5,clock & timestamp,approval_hash_binding,2,3.33,0.92,11.36,60
F5,clock & timestamp,cross_artifact_preflight,2,3.33,0.92,11.36,60
F5,clock & timestamp,orchestrator_revalidation,0,0.0,0.0,6.02,60
F5,clock & timestamp,total_intercepted,54,90.0,79.85,95.34,60
F5,clock & timestamp,escape,6,10.0,,,60
F6,runbook violations,schema_validation,45,75.0,62.77,84.22,60
F6,runbook violations,single_artifact_validator,5,8.33,3.61,18.07,60
F6,runbook violations,approval_hash_binding,0,0.0,0.0,6.02,60
F6,runbook violations,cross_artifact_preflight,4,6.67,2.62,15.93,60
F6,runbook violations,orchestrator_revalidation,0,0.0,0.0,6.02,60
F6,runbook violations,total_intercepted,54,90.0,79.85,95.34,60
F6,runbook violations,escape,6,10.0,,,60
F7,journal chain (aux),schema_validation,0,0.0,0.0,43.45,5
F7,journal chain (aux),single_artifact_validator,0,0.0,0.0,43.45,5
F7,journal chain (aux),approval_hash_binding,0,0.0,0.0,43.45,5
F7,journal chain (aux),cross_artifact_preflight,0,0.0,0.0,43.45,5
F7,journal chain (aux),orchestrator_revalidation,5,100.0,56.55,100.0,5
F7,journal chain (aux),total_intercepted,5,100.0,56.55,100.0,5
F7,journal chain (aux),escape,0,0.0,,,5
