layer,samples,order_count,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms
schema_validation_per_artifact,1200,3,0.5616,1.3274,1.3742,0.7683,0.2653,1.6068
schema_validation_capability_manifest,200,3,0.4354,0.4619,0.4887,0.439,0.4203,0.5616
schema_validation_handoff,200,3,1.017,1.0812,1.1452,1.0219,0.9828,1.2918
schema_validation_approval,200,3,0.2948,0.3144,0.3587,0.2971,0.28,0.3764
schema_validation_response,200,3,1.3165,1.3633,1.4564,1.3172,1.2522,1.6068
schema_validation_operator_runbook,200,3,1.2335,1.3233,1.3855,1.254,1.213,1.4117
schema_validation_preflight_bundle,200,3,0.2792,0.3054,0.337,0.2804,0.2653,0.3696
single_artifact_validators_all_six,200,3,2.7269,2.8195,2.8742,2.7261,2.6308,2.9289
risk_gate,200,3,0.0118,0.0121,0.0125,0.0118,0.0116,0.0135
hash_binding_checks,200,3,0.4387,0.4586,0.4939,0.4356,0.4194,0.5009
journal_chain_verify,200,3,0.2304,0.2496,0.2831,0.2318,0.2211,0.2914
cross_artifact_preflight_full_bundle,200,3,6.8461,10.7743,20.8887,7.4142,6.5643,23.2883
step_propose,200,3,21.557,25.2744,27.7955,20.9737,8.8785,29.225
step_approve,200,3,13.671,16.3059,17.0409,13.4551,6.3995,36.1027
step_execute,200,3,13.8252,17.1135,18.7214,13.9393,7.1244,27.4927
step_reconcile,200,3,50.0947,66.1646,77.5443,50.556,25.8979,100.0414
final_gate,200,3,13.9581,24.7194,25.8831,15.6139,7.6333,27.3406
orchestrator_step,800,3,16.5256,59.5464,68.2518,24.731,6.3995,100.0414
full_chain_session,200,3,113.9331,136.9252,150.3884,114.5379,72.2088,170.1748
scaling_full_chain_n1,100,1,118.1278,139.2928,144.7799,117.3238,50.962,156.1063
scaling_full_chain_n2,100,2,114.5856,138.1617,152.6934,116.6298,83.6681,249.9523
scaling_full_chain_n5,100,5,117.6713,145.1612,168.498,120.7567,84.7022,174.4211
scaling_full_chain_n10,100,10,124.5686,148.7872,154.4079,126.7083,93.5439,189.477
scaling_full_chain_n25,100,25,127.3835,157.9583,185.1421,130.1497,73.3478,195.9928
scaling_full_chain_n50,100,50,126.5873,155.1808,164.0582,130.6451,99.6582,164.9722
