frequency,sessions_per_week,decision_interval_minutes,n_symbols,approval_latency_minutes,review_base_minutes,review_minutes_per_order,expiry_minutes,weekly_budget_minutes,chain_compute_p95_ms,attention_minutes_per_session,effective_latency_minutes,session_wall_minutes,weekly_attention_minutes,expiry_ok,backlog_ok,budget_ok,feasible,binding_constraints,session_of_first_expiry,auto_approval_fraction_for_budget
weekly,1.0,10080.0,1,1.0,2.0,0.2,1440.0,60.0,139.2928,2.2,2.2,2.202322,2.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,1,5.0,2.0,0.2,1440.0,60.0,139.2928,2.2,5.0,5.002322,2.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,1,15.0,2.0,0.2,1440.0,60.0,139.2928,2.2,15.0,15.002322,2.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,1,60.0,2.0,0.2,1440.0,60.0,139.2928,2.2,60.0,60.002322,2.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,2,1.0,2.0,0.2,1440.0,60.0,138.1617,2.4,2.4,2.402303,2.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,2,5.0,2.0,0.2,1440.0,60.0,138.1617,2.4,5.0,5.002303,2.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,2,15.0,2.0,0.2,1440.0,60.0,138.1617,2.4,15.0,15.002303,2.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,2,60.0,2.0,0.2,1440.0,60.0,138.1617,2.4,60.0,60.002303,2.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,3,1.0,2.0,0.2,1440.0,60.0,140.4949,2.6,2.6,2.602342,2.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,3,5.0,2.0,0.2,1440.0,60.0,140.4949,2.6,5.0,5.002342,2.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,3,15.0,2.0,0.2,1440.0,60.0,140.4949,2.6,15.0,15.002342,2.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,3,60.0,2.0,0.2,1440.0,60.0,140.4949,2.6,60.0,60.002342,2.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,4,1.0,2.0,0.2,1440.0,60.0,142.828,2.8,2.8,2.80238,2.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,4,5.0,2.0,0.2,1440.0,60.0,142.828,2.8,5.0,5.00238,2.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,4,15.0,2.0,0.2,1440.0,60.0,142.828,2.8,15.0,15.00238,2.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,4,60.0,2.0,0.2,1440.0,60.0,142.828,2.8,60.0,60.00238,2.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,5,1.0,2.0,0.2,1440.0,60.0,145.1612,3.0,3.0,3.002419,3.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,5,5.0,2.0,0.2,1440.0,60.0,145.1612,3.0,5.0,5.002419,3.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,5,15.0,2.0,0.2,1440.0,60.0,145.1612,3.0,15.0,15.002419,3.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,5,60.0,2.0,0.2,1440.0,60.0,145.1612,3.0,60.0,60.002419,3.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,6,1.0,2.0,0.2,1440.0,60.0,145.8864,3.2,3.2,3.202431,3.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,6,5.0,2.0,0.2,1440.0,60.0,145.8864,3.2,5.0,5.002431,3.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,6,15.0,2.0,0.2,1440.0,60.0,145.8864,3.2,15.0,15.002431,3.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,6,60.0,2.0,0.2,1440.0,60.0,145.8864,3.2,60.0,60.002431,3.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,7,1.0,2.0,0.2,1440.0,60.0,146.6116,3.4,3.4,3.402444,3.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,7,5.0,2.0,0.2,1440.0,60.0,146.6116,3.4,5.0,5.002444,3.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,7,15.0,2.0,0.2,1440.0,60.0,146.6116,3.4,15.0,15.002444,3.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,7,60.0,2.0,0.2,1440.0,60.0,146.6116,3.4,60.0,60.002444,3.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,8,1.0,2.0,0.2,1440.0,60.0,147.3368,3.6,3.6,3.602456,3.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,8,5.0,2.0,0.2,1440.0,60.0,147.3368,3.6,5.0,5.002456,3.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,8,15.0,2.0,0.2,1440.0,60.0,147.3368,3.6,15.0,15.002456,3.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,8,60.0,2.0,0.2,1440.0,60.0,147.3368,3.6,60.0,60.002456,3.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,9,1.0,2.0,0.2,1440.0,60.0,148.062,3.8,3.8,3.802468,3.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,9,5.0,2.0,0.2,1440.0,60.0,148.062,3.8,5.0,5.002468,3.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,9,15.0,2.0,0.2,1440.0,60.0,148.062,3.8,15.0,15.002468,3.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,9,60.0,2.0,0.2,1440.0,60.0,148.062,3.8,60.0,60.002468,3.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,10,1.0,2.0,0.2,1440.0,60.0,148.7872,4.0,4.0,4.00248,4.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,10,5.0,2.0,0.2,1440.0,60.0,148.7872,4.0,5.0,5.00248,4.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,10,15.0,2.0,0.2,1440.0,60.0,148.7872,4.0,15.0,15.00248,4.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,10,60.0,2.0,0.2,1440.0,60.0,148.7872,4.0,60.0,60.00248,4.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,11,1.0,2.0,0.2,1440.0,60.0,149.3986,4.2,4.2,4.20249,4.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,11,5.0,2.0,0.2,1440.0,60.0,149.3986,4.2,5.0,5.00249,4.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,11,15.0,2.0,0.2,1440.0,60.0,149.3986,4.2,15.0,15.00249,4.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,11,60.0,2.0,0.2,1440.0,60.0,149.3986,4.2,60.0,60.00249,4.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,12,1.0,2.0,0.2,1440.0,60.0,150.01,4.4,4.4,4.4025,4.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,12,5.0,2.0,0.2,1440.0,60.0,150.01,4.4,5.0,5.0025,4.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,12,15.0,2.0,0.2,1440.0,60.0,150.01,4.4,15.0,15.0025,4.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,12,60.0,2.0,0.2,1440.0,60.0,150.01,4.4,60.0,60.0025,4.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,13,1.0,2.0,0.2,1440.0,60.0,150.6214,4.6,4.6,4.60251,4.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,13,5.0,2.0,0.2,1440.0,60.0,150.6214,4.6,5.0,5.00251,4.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,13,15.0,2.0,0.2,1440.0,60.0,150.6214,4.6,15.0,15.00251,4.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,13,60.0,2.0,0.2,1440.0,60.0,150.6214,4.6,60.0,60.00251,4.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,14,1.0,2.0,0.2,1440.0,60.0,151.2328,4.8,4.8,4.802521,4.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,14,5.0,2.0,0.2,1440.0,60.0,151.2328,4.8,5.0,5.002521,4.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,14,15.0,2.0,0.2,1440.0,60.0,151.2328,4.8,15.0,15.002521,4.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,14,60.0,2.0,0.2,1440.0,60.0,151.2328,4.8,60.0,60.002521,4.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,15,1.0,2.0,0.2,1440.0,60.0,151.8442,5.0,5.0,5.002531,5.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,15,5.0,2.0,0.2,1440.0,60.0,151.8442,5.0,5.0,5.002531,5.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,15,15.0,2.0,0.2,1440.0,60.0,151.8442,5.0,15.0,15.002531,5.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,15,60.0,2.0,0.2,1440.0,60.0,151.8442,5.0,60.0,60.002531,5.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,16,1.0,2.0,0.2,1440.0,60.0,152.4556,5.2,5.2,5.202541,5.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,16,5.0,2.0,0.2,1440.0,60.0,152.4556,5.2,5.2,5.202541,5.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,16,15.0,2.0,0.2,1440.0,60.0,152.4556,5.2,15.0,15.002541,5.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,16,60.0,2.0,0.2,1440.0,60.0,152.4556,5.2,60.0,60.002541,5.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,17,1.0,2.0,0.2,1440.0,60.0,153.067,5.4,5.4,5.402551,5.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,17,5.0,2.0,0.2,1440.0,60.0,153.067,5.4,5.4,5.402551,5.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,17,15.0,2.0,0.2,1440.0,60.0,153.067,5.4,15.0,15.002551,5.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,17,60.0,2.0,0.2,1440.0,60.0,153.067,5.4,60.0,60.002551,5.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,18,1.0,2.0,0.2,1440.0,60.0,153.6785,5.6,5.6,5.602561,5.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,18,5.0,2.0,0.2,1440.0,60.0,153.6785,5.6,5.6,5.602561,5.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,18,15.0,2.0,0.2,1440.0,60.0,153.6785,5.6,15.0,15.002561,5.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,18,60.0,2.0,0.2,1440.0,60.0,153.6785,5.6,60.0,60.002561,5.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,19,1.0,2.0,0.2,1440.0,60.0,154.2899,5.8,5.8,5.802571,5.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,19,5.0,2.0,0.2,1440.0,60.0,154.2899,5.8,5.8,5.802571,5.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,19,15.0,2.0,0.2,1440.0,60.0,154.2899,5.8,15.0,15.002571,5.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,19,60.0,2.0,0.2,1440.0,60.0,154.2899,5.8,60.0,60.002571,5.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,20,1.0,2.0,0.2,1440.0,60.0,154.9013,6.0,6.0,6.002582,6.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,20,5.0,2.0,0.2,1440.0,60.0,154.9013,6.0,6.0,6.002582,6.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,20,15.0,2.0,0.2,1440.0,60.0,154.9013,6.0,15.0,15.002582,6.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,20,60.0,2.0,0.2,1440.0,60.0,154.9013,6.0,60.0,60.002582,6.0,True,True,True,True,,,0.0
