week,status,proposed_at,approved_at,reconciled_at,approval_latency_s,orders,blocked,discrepancies,unsafe_submission_audit
2026w27,RECONCILED,2026-07-06T02:34:59.950381Z,2026-07-06T05:07:17.820124Z,2026-07-06T05:07:25.749176Z,9137.87,3,0,0,PASS
2026w28,RECONCILED,2026-07-13T03:12:43.121632Z,2026-07-13T03:13:04.817031Z,2026-07-13T03:13:05.989900Z,21.695,3,0,0,PASS
2026w29,RECONCILED,2026-07-20T00:15:02.094951Z,2026-07-20T00:15:02.949995Z,2026-07-20T00:15:03.768184Z,0.855,2,0,0,PASS
2026w30,NO_TRADE,2026-07-27T00:15:02.251707Z,,,,0,0,0,FAIL: artifact missing: broker_approval_artifact.json
2026w31,RECONCILED,2026-08-03T00:15:02.571751Z,2026-08-03T00:15:03.655390Z,2026-08-03T00:15:04.629128Z,1.084,1,0,0,PASS
2026w32,PENDING,,,,,,,,
2026w33,PENDING,,,,,,,,
2026w34,PENDING,,,,,,,,
2026w35,PENDING,,,,,,,,
2026w36,PENDING,,,,,,,,
2026w37,PENDING,,,,,,,,
2026w38,PENDING,,,,,,,,
