model,tier,rate_a,a_low,a_high,rate_b,b_low,b_high,n_a,n_b,reading
poe:claude-opus-4.7,clean,0.000,0.000,0.299,0.222,0.063,0.547,9,9,stable
poe:claude-opus-4.7,semantic,1.000,0.701,1.000,1.000,0.701,1.000,9,9,stable
poe:claude-opus-4.7,freetext,0.111,0.020,0.435,0.222,0.063,0.547,9,9,stable
poe:claude-opus-4.7,authority,0.833,0.436,0.970,1.000,0.610,1.000,6,6,stable
poe:gemini-3.1-pro,clean,0.111,0.020,0.435,0.111,0.020,0.435,9,9,stable
poe:gemini-3.1-pro,semantic,1.000,0.701,1.000,1.000,0.701,1.000,9,9,stable
poe:gemini-3.1-pro,freetext,0.000,0.000,0.299,0.222,0.063,0.547,9,9,stable
poe:gemini-3.1-pro,authority,0.833,0.436,0.970,0.833,0.436,0.970,6,6,stable
deepseek:deepseek-v4-pro,clean,0.000,0.000,0.299,0.000,0.000,0.299,9,9,stable
deepseek:deepseek-v4-pro,semantic,0.222,0.063,0.547,0.222,0.063,0.547,9,9,stable
deepseek:deepseek-v4-pro,freetext,0.000,0.000,0.299,0.000,0.000,0.299,9,9,stable
deepseek:deepseek-v4-pro,authority,0.167,0.030,0.564,0.000,0.000,0.390,6,6,stable
glm:glm-5,clean,0.222,0.063,0.547,0.000,0.000,0.299,9,9,stable
glm:glm-5,semantic,0.889,0.565,0.980,0.889,0.565,0.980,9,9,stable
glm:glm-5,freetext,0.111,0.020,0.435,0.000,0.000,0.299,9,9,stable
glm:glm-5,authority,0.667,0.300,0.903,0.500,0.188,0.812,6,6,stable
