kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
fake_rejections,0.0,1.0,max-position,1,0.5078333333333334,1.08,0.0,0.17096533623996413,-0.024847508412677466
fake_rejections,0.0,1.0,max-position,2,0.44316666666666665,1.08,0.0,0.21656990887474947,-0.025027173244082213
fake_rejections,0.0,1.0,max-position,3,0.46950000000000003,1.08,0.0,0.260920410483946,-0.018211716103278874
fake_rejections,0.0,1.0,max-position,4,0.48283333333333334,1.08,0.0,0.24028809615696844,-0.01272159971382425
fake_rejections,0.0,1.0,max-position,5,0.5191666666666667,1.08,0.0,0.2603792274472121,-0.01769795712578537
fake_rejections,0.0,1.0,max-position,6,0.48333333333333334,1.08,0.0,0.23182859894868124,-0.025071824985390512
fake_rejections,0.0,1.0,max-position,7,0.48550000000000004,1.08,0.0,0.22899675331975122,-0.019746962112851096
fake_rejections,0.0,1.0,max-position,8,0.5118333333333334,1.08,0.0,0.22487385035892338,-0.02041662445386061
fake_rejections,0.0,1.0,max-position,9,0.4895,1.08,0.0,0.3021476715768088,-0.011401579459775157
fake_rejections,0.0,1.0,max-position,10,0.44554166666666667,1.08,0.008333333333333333,0.16595102627102798,-0.028499152956591667
fake_rejections,0.1,1.0,max-position,1,0.5078333333333334,1.08,0.0,0.17096533623996413,-0.024847508412677466
fake_rejections,0.1,1.0,max-position,2,0.44316666666666665,1.08,0.0,0.21656990887474947,-0.025027173244082213
fake_rejections,0.1,1.0,max-position,3,0.46950000000000003,1.08,0.0,0.260920410483946,-0.018211716103278874
fake_rejections,0.1,1.0,max-position,4,0.48283333333333334,1.08,0.0,0.24028809615696844,-0.01272159971382425
fake_rejections,0.1,1.0,max-position,5,0.5191666666666667,1.08,0.0,0.2603792274472121,-0.01769795712578537
fake_rejections,0.1,1.0,max-position,6,0.48333333333333334,1.08,0.0,0.23182859894868124,-0.025071824985390512
fake_rejections,0.1,1.0,max-position,7,0.48550000000000004,1.08,0.0,0.22899675331975122,-0.019746962112851096
fake_rejections,0.1,1.0,max-position,8,0.5118333333333334,1.08,0.0,0.22487385035892338,-0.02041662445386061
fake_rejections,0.1,1.0,max-position,9,0.4895,1.08,0.0,0.3021476715768088,-0.011401579459775157
fake_rejections,0.1,1.0,max-position,10,0.44554166666666667,1.08,0.008333333333333333,0.16595102627102798,-0.028499152956591667
fake_rejections,0.25,1.0,max-position,1,0.44666666666666666,1.0,0.1965277777777778,0.17013945413692322,-0.02268530945599667
fake_rejections,0.25,1.0,max-position,2,0.38625000000000004,0.9000000000000001,0.1965277777777778,0.20590422420586396,-0.02243254482881818
fake_rejections,0.25,1.0,max-position,3,0.4095833333333333,1.0,0.1965277777777778,0.2443764719488235,-0.016362606369085486
fake_rejections,0.25,1.0,max-position,4,0.42458333333333337,1.0,0.1965277777777778,0.23229295346379142,-0.012747979399773346
fake_rejections,0.25,1.0,max-position,5,0.45375000000000004,0.9000000000000001,0.1965277777777778,0.25650573156973366,-0.016305911026074038
fake_rejections,0.25,1.0,max-position,6,0.42083333333333334,1.0,0.1965277777777778,0.2256415214676386,-0.02292005299390698
fake_rejections,0.25,1.0,max-position,7,0.42375,0.9000000000000001,0.1965277777777778,0.21901748266349608,-0.018197541935103256
fake_rejections,0.25,1.0,max-position,8,0.44666666666666666,1.0,0.1965277777777778,0.21699975793656145,-0.0184593230273834
fake_rejections,0.25,1.0,max-position,9,0.42416666666666664,1.0,0.1965277777777778,0.289340806936103,-0.011883518217171485
fake_rejections,0.25,1.0,max-position,10,0.39333333333333337,1.0,0.20486111111111113,0.16025976979041356,-0.026220480529557277
fake_rejections,0.5,1.0,max-position,1,0.3975,1.0,0.39722222222222225,0.16210275261774254,-0.02133387538858489
fake_rejections,0.5,1.0,max-position,2,0.3433333333333334,0.8000000000000002,0.39722222222222225,0.19707372921283817,-0.022487345138648362
fake_rejections,0.5,1.0,max-position,3,0.36500000000000005,1.0,0.39722222222222225,0.23229548218495877,-0.014928819624832723
fake_rejections,0.5,1.0,max-position,4,0.37833333333333335,1.0,0.39722222222222225,0.2260938681304412,-0.011602149893374936
fake_rejections,0.5,1.0,max-position,5,0.4033333333333334,0.8000000000000002,0.39722222222222225,0.2524481875349507,-0.015862137866838766
fake_rejections,0.5,1.0,max-position,6,0.375,1.0,0.39722222222222225,0.214090869341242,-0.02139870842502689
fake_rejections,0.5,1.0,max-position,7,0.3766666666666667,0.8000000000000002,0.39722222222222225,0.20534874116687574,-0.01825174540608776
fake_rejections,0.5,1.0,max-position,8,0.3975,1.0,0.39722222222222225,0.2089651393175207,-0.017039053760205536
fake_rejections,0.5,1.0,max-position,9,0.37750000000000006,1.0,0.39722222222222225,0.27868711272626423,-0.010560690367124148
fake_rejections,0.5,1.0,max-position,10,0.35087500000000005,1.0,0.4022222222222222,0.15627553238491454,-0.02320082440274629
fake_rejections,0.75,1.0,max-position,1,0.19591666666666668,1.0,0.7868055555555556,0.11524665752936647,-0.010480219080638231
fake_rejections,0.75,1.0,max-position,2,0.167375,0.39000000000000007,0.7868055555555556,0.1345171626730568,-0.015220157700822412
fake_rejections,0.75,1.0,max-position,3,0.18220833333333336,1.0,0.7868055555555556,0.16627486547920944,-0.012929405862339372
fake_rejections,0.75,1.0,max-position,4,0.18870833333333334,1.0,0.7868055555555556,0.14654382957697942,-0.0052261396591259945
fake_rejections,0.75,1.0,max-position,5,0.19662500000000002,0.39000000000000007,0.7868055555555556,0.16221373739143607,-0.0084579406261861
fake_rejections,0.75,1.0,max-position,6,0.18708333333333332,1.0,0.7868055555555556,0.11579106810650508,-0.01364778734183103
fake_rejections,0.75,1.0,max-position,7,0.183625,0.39000000000000007,0.7868055555555556,0.12360849963174547,-0.009279923016036973
fake_rejections,0.75,1.0,max-position,8,0.19591666666666668,1.0,0.7868055555555556,0.13263635181263944,-0.008940406947772206
fake_rejections,0.75,1.0,max-position,9,0.18616666666666667,1.0,0.7868055555555556,0.16296434329883014,-0.007976932722658647
fake_rejections,0.75,1.0,max-position,10,0.1796666666666667,1.0,0.7868055555555556,0.11229833693005542,-0.014174151947498603
fake_violations,0.0,1.0,max-position,1,0.5078333333333334,1.08,0.0,0.17096533623996413,-0.024847508412677466
fake_violations,0.0,1.0,max-position,2,0.44316666666666665,1.08,0.0,0.21656990887474947,-0.025027173244082213
fake_violations,0.0,1.0,max-position,3,0.46950000000000003,1.08,0.0,0.260920410483946,-0.018211716103278874
