agent,risk,dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,max-position,0.05,hold_ratio,30,-0.019444444444444455,-0.046064814814814815,0.006249999999999991,0.16041979010494753,0.24062968515742128,-0.2568319139174469
deepseek:deepseek-v4-pro,max-position,0.1,hold_ratio,30,-0.0576388888888889,-0.10648148148148148,-0.009953703703703706,0.038980509745127435,0.07796101949025487,-0.4023920839416901
deepseek:deepseek-v4-pro,max-position,0.75,hold_ratio,30,0.011574074074074073,-0.05486111111111111,0.07731481481481482,0.7306346826586707,0.7306346826586707,0.062079312846878724
deepseek:deepseek-v4-pro,none,0.05,hold_ratio,30,0.01296296296296295,-0.010185185185185196,0.038425925925925905,0.3078460769615192,0.3694152923538231,0.19318980850716336
deepseek:deepseek-v4-pro,none,0.1,hold_ratio,30,0.036342592592592586,0.012499999999999987,0.059027777777777776,0.0074962518740629685,0.022488755622188904,0.538655265314555
deepseek:deepseek-v4-pro,none,0.75,hold_ratio,30,0.230787037037037,0.1787037037037037,0.2840277777777777,0.0004997501249375312,0.0029985007496251873,1.4578921664995093
deepseek:deepseek-v4-pro,max-position,0.05,mean_gross_target_exposure,30,0.013611111111111119,-0.004374999999999999,0.032245370370370376,0.16041979010494753,0.24062968515742128,0.2568319139174469
deepseek:deepseek-v4-pro,max-position,0.1,mean_gross_target_exposure,30,0.04034722222222223,0.006967592592592609,0.07453703703703705,0.038980509745127435,0.07796101949025487,0.4023920839416901
deepseek:deepseek-v4-pro,max-position,0.75,mean_gross_target_exposure,30,-0.008055555555555545,-0.05407407407407407,0.03844907407407407,0.7306346826586707,0.7306346826586707,-0.061750910203571034
deepseek:deepseek-v4-pro,none,0.05,mean_gross_target_exposure,30,-0.024490740740740764,-0.06162037037037041,0.01055555555555557,0.18690654672663667,0.2492087289688489,-0.24353836597829284
deepseek:deepseek-v4-pro,none,0.1,mean_gross_target_exposure,30,-0.062291666666666676,-0.0961342592592593,-0.027037037037037033,0.001999000499750125,0.0079960019990005,-0.6207924897305906
deepseek:deepseek-v4-pro,none,0.75,mean_gross_target_exposure,30,-0.35256944444444455,-0.4259722222222223,-0.28013888888888894,0.0004997501249375312,0.0029985007496251873,-1.6143368337034303
glm:glm-5,max-position,0.05,hold_ratio,30,0.0018518518518518508,-0.0027777777777777788,0.006712962962962956,0.5227386306846576,0.5702603243832628,0.1334100278080868
glm:glm-5,max-position,0.1,hold_ratio,30,0.0027777777777777775,-0.003240740740740739,0.009259259259259257,0.43428285857071464,0.5211394302848575,0.1582845402442879
glm:glm-5,max-position,0.75,hold_ratio,30,0.011342592592592592,0.004398148148148149,0.018287037037037032,0.005997001499250375,0.014392803598200898,0.5738134137765145
glm:glm-5,none,0.05,hold_ratio,30,-0.0020833333333333368,-0.006712962962962967,0.0020833333333333272,0.41179410294852575,0.5211394302848575,-0.17001074814566852
glm:glm-5,none,0.1,hold_ratio,30,-0.00023148148148148436,-0.007175925925925929,0.00671296296296296,1.0,1.0,-0.011563765050701863
glm:glm-5,none,0.75,hold_ratio,30,0.019675925925925923,0.012268518518518515,0.02754629629629629,0.0004997501249375312,0.0014992503748125937,0.8720024737811986
glm:glm-5,max-position,0.05,mean_gross_target_exposure,30,-0.002314814814814825,-0.005972222222222235,0.0012268518518518364,0.22038980509745126,0.33058470764617687,-0.22298102227766364
glm:glm-5,max-position,0.1,mean_gross_target_exposure,30,-0.0034259259259259286,-0.007939814814814827,0.0007638888888888824,0.12643678160919541,0.21674876847290642,-0.2875515072108277
glm:glm-5,max-position,0.75,mean_gross_target_exposure,30,-0.008125000000000009,-0.013425925925925949,-0.0030092592592592484,0.0079960019990005,0.015992003998001,-0.5393188262505426
glm:glm-5,none,0.05,mean_gross_target_exposure,30,-0.01912037037037036,-0.026319444444444465,-0.011226851851851875,0.0004997501249375312,0.0014992503748125937,-0.8621098794359493
glm:glm-5,none,0.1,mean_gross_target_exposure,30,-0.03530092592592592,-0.048078703703703644,-0.022199074074074086,0.0004997501249375312,0.0014992503748125937,-0.9693040036846308
glm:glm-5,none,0.75,mean_gross_target_exposure,30,-0.06608796296296295,-0.07886574074074071,-0.05474537037037041,0.0004997501249375312,0.0014992503748125937,-1.9505545683304455
