agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,0.25,hold_ratio,10,-0.0125,-0.11458333333333333,0.10694444444444444,0.875,1.0,-0.06697051466046117
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,hold_ratio,30,0.030324074074074055,-0.037731481481481505,0.0983796296296296,0.3933033483258371,0.8185483870967742,0.15905020235423412
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,0.25,hold_ratio,10,0.03402777777777777,-0.005555555555555565,0.07569444444444444,0.1875,0.631578947368421,0.4833591509056082
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,hold_ratio,30,0.10787037037037037,0.05902777777777778,0.15810185185185185,0.0009995002498750624,0.019190404797601198,0.7746170880809206
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,0.25,hold_ratio,10,-0.04930555555555555,-0.1361111111111111,0.029166666666666667,0.298828125,0.7171875,-0.3556476709166408
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,hold_ratio,30,0.007175925925925927,-0.059027777777777755,0.07430555555555557,0.8340829585207397,1.0,0.03803844394691259
deepseek:deepseek-v4-pro,fake_violations,none,0.25,0.25,hold_ratio,10,0.07013888888888889,0.03680555555555558,0.10625,0.0078125,0.08823529411764706,1.225907115841362
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,hold_ratio,30,0.23449074074074075,0.1773148148148148,0.29259259259259257,0.0004997501249375312,0.010661335998667332,1.410861905446674
glm:glm-5,fake_rejections,max-position,0.25,0.25,hold_ratio,10,0.011111111111111113,0.0020833333333333385,0.021527777777777778,0.09375,0.45,0.6761234037828134
glm:glm-5,fake_rejections,max-position,0.75,0.75,hold_ratio,30,0.004629629629629631,-0.0013888888888888896,0.010416666666666666,0.15742128935532235,0.5702808972872054,0.27643505075496955
glm:glm-5,fake_rejections,none,0.25,0.25,hold_ratio,10,-0.00972222222222222,-0.01666666666666667,-0.00416666666666666,0.03125,0.20689655172413793,-0.8874119674649423
glm:glm-5,fake_rejections,none,0.75,0.75,hold_ratio,30,-0.003009259259259259,-0.01111111111111111,0.005092592592592595,0.5307346326836582,0.8579710144927536,-0.1266737143427132
