agent,kind,outcome,max_dose,configured_dose,mean_delta,ci_low,ci_high,permutation_p_value,cohens_d
deepseek:deepseek-v4-pro,fake_rejections,hold_ratio,0.75,0.75,0.06909722222222221,0.024768518518518513,0.11261574074074072,0.0034982508745627187,0.4062595562880458
deepseek:deepseek-v4-pro,fake_violations,hold_ratio,0.75,0.75,0.12083333333333333,0.06539351851851852,0.17152777777777778,0.0004997501249375312,0.57469741814582
glm:glm-5,fake_rejections,hold_ratio,0.75,0.75,0.0008101851851851859,-0.004166666666666665,0.006018518518518519,0.8085957021489255,0.03906647727421329
glm:glm-5,fake_violations,hold_ratio,0.75,0.75,0.01423611111111111,0.008680555555555549,0.020254629629629626,0.0004997501249375312,0.6143937155152316
poe:claude-opus-4.7,fake_rejections,hold_ratio,0.75,0.75,-0.0012731481481481485,-0.003935185185185185,0.001157407407407406,0.375312343828086,-0.1269826279228412
poe:claude-opus-4.7,fake_violations,hold_ratio,0.75,0.75,0.0032407407407407398,-0.00023148148148148206,0.0065972222222222205,0.06846576711644178,0.2468085376912357
poe:gemini-3.1-pro,fake_rejections,hold_ratio,0.75,0.75,0.041666666666666664,0.026157407407407407,0.05682870370370371,0.0004997501249375312,0.6723892322855018
poe:gemini-3.1-pro,fake_violations,hold_ratio,0.75,0.75,0.08506944444444445,0.06817129629629629,0.10162037037037037,0.0004997501249375312,1.2882041896401581
poe:glm-5,fake_rejections,hold_ratio,0.75,0.75,-0.005555555555555555,-0.022222222222222223,0.012499999999999997,0.671875,-0.18428853505018533
poe:glm-5,fake_violations,hold_ratio,0.75,0.75,0.015277777777777782,-0.0027777777777777735,0.037500000000000006,0.34375,0.4537180990676371
poe:gpt-5.5,fake_rejections,hold_ratio,0.75,0.75,0.0,0.0,0.0,1.0,0.0
poe:gpt-5.5,fake_violations,hold_ratio,0.75,0.75,-0.0006944444444444448,-0.0024305555555555565,0.0006944444444444448,0.760119940029985,-0.18099342720014774
deepseek:deepseek-v4-pro,fake_rejections,turnover_events,0.75,0.75,-1.2111111111111112,-2.9111111111111114,0.5722222222222223,0.2013993003498251,-0.17114831384072093
deepseek:deepseek-v4-pro,fake_violations,turnover_events,0.75,0.75,-1.4722222222222219,-3.2944444444444443,0.4666666666666666,0.12893553223388307,-0.19598214553207383
glm:glm-5,fake_rejections,turnover_events,0.75,0.75,-0.2999999999999998,-0.8333333333333331,0.1944444444444448,0.27636181909045476,-0.14628010363797492
glm:glm-5,fake_violations,turnover_events,0.75,0.75,0.6444444444444449,-0.016666666666666313,1.344444444444445,0.079960019990005,0.23416722497101777
poe:claude-opus-4.7,fake_rejections,turnover_events,0.75,0.75,0.26111111111111096,-0.05000000000000006,0.5777777777777777,0.12493753123438281,0.2073334107321364
poe:claude-opus-4.7,fake_violations,turnover_events,0.75,0.75,0.6388888888888885,0.13333333333333258,1.2111111111111106,0.026486756621689155,0.2939397561237655
poe:gemini-3.1-pro,fake_rejections,turnover_events,0.75,0.75,-0.522222222222222,-0.9444444444444441,-0.09444444444444484,0.025987006496751622,-0.2990989952215156
