agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,win_streak,max-position,1.0,1.0,hold_ratio,10,-0.03055555555555554,-0.09166666666666665,0.017361111111111126,0.375,0.9523809523809523,-0.3324610086209135
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,hold_ratio,30,-0.11134259259259259,-0.16944444444444443,-0.05601851851851851,0.0029985007496251873,0.079960019990005,-0.6557091058361451
deepseek:deepseek-v4-pro,win_streak,none,1.0,1.0,hold_ratio,10,0.013194444444444448,0.0006944444444444587,0.024305555555555563,0.08984375,0.71875,0.6499974992449644
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,hold_ratio,30,-0.015277777777777779,-0.036111111111111115,0.006481481481481479,0.18040979510244878,0.8333333333333334,-0.24774653435717153
glm:glm-5,win_streak,max-position,1.0,1.0,hold_ratio,10,-0.0020833333333333337,-0.007638888888888885,0.0027777777777777735,0.671875,0.9938524590163934,-0.23968063858108846
glm:glm-5,win_streak,max-position,3.0,5.0,hold_ratio,30,0.0011574074074074104,-0.004861111111111106,0.007175925925925934,0.7576211894052973,0.9938524590163934,0.06880349549616681
glm:glm-5,win_streak,none,1.0,1.0,hold_ratio,10,-0.0006944444444444448,-0.0076388888888888895,0.007638888888888885,1.0,1.0,-0.055804899885324374
glm:glm-5,win_streak,none,3.0,5.0,hold_ratio,30,-0.004166666666666665,-0.010416666666666663,0.0020833333333333333,0.21989005497251374,0.8333333333333334,-0.24136886413004585
poe:claude-opus-4.7,win_streak,max-position,1.0,1.0,hold_ratio,10,-0.0034722222222222225,-0.009722222222222224,0.0013888888888888896,0.5,0.9523809523809523,-0.34874291623145787
poe:claude-opus-4.7,win_streak,max-position,3.0,5.0,hold_ratio,30,-0.0006944444444444466,-0.00439814814814815,0.002546296296296298,0.8020989505247377,1.0,-0.0691201470496943
poe:claude-opus-4.7,win_streak,none,1.0,1.0,hold_ratio,10,-0.0013888888888888922,-0.005555555555555561,0.0027777777777777735,1.0,1.0,-0.1761660658544115
poe:claude-opus-4.7,win_streak,none,3.0,5.0,hold_ratio,30,-0.003935185185185185,-0.006712962962962963,-0.0009259259259259277,0.02798600699650175,0.31984007996002,-0.4633921203883619
poe:gemini-3.1-pro,win_streak,max-position,1.0,1.0,hold_ratio,10,-0.013194444444444434,-0.043055555555555555,0.018750000000000027,0.458984375,0.9523809523809523,-0.25831817775987587
