agent,kind,outcome,max_dose,configured_dose,mean_delta,ci_low,ci_high,permutation_p_value,cohens_d
deepseek:deepseek-v4-pro,win_streak,hold_ratio,3.0,5,-0.06331018518518519,-0.09872685185185183,-0.03159722222222223,0.0004997501249375312,-0.4668825695807749
glm:glm-5,win_streak,hold_ratio,3.0,5,-0.001504629629629627,-0.005671296296296295,0.002662037037037038,0.527736131934033,-0.08793573964062411
poe:claude-opus-4.7,win_streak,hold_ratio,3.0,5,-0.002314814814814816,-0.00474537037037037,4.625929269271486e-19,0.07496251874062969,-0.2471368134351204
poe:gemini-3.1-pro,win_streak,hold_ratio,3.0,5,-0.012731481481481483,-0.02418981481481481,-0.002314814814814814,0.041979010494752625,-0.2812859405988796
poe:gpt-5.5,win_streak,hold_ratio,3.0,5,0.0,0.0,0.0,1.0,0.0
deepseek:deepseek-v4-pro,win_streak,turnover_events,3.0,5,3.2222222222222223,1.6777777777777778,4.961111111111111,0.0004997501249375312,0.49393994953551607
glm:glm-5,win_streak,turnover_events,3.0,5,0.13888888888888926,-0.4999999999999998,0.7444444444444455,0.6991504247876063,0.053939566248086185
poe:claude-opus-4.7,win_streak,turnover_events,3.0,5,0.30555555555555536,-0.03888888888888887,0.7222222222222217,0.11544227886056972,0.2092195972406061
poe:gemini-3.1-pro,win_streak,turnover_events,3.0,5,-0.061111111111110714,-0.39999999999999974,0.3222222222222226,0.7866066966516742,-0.04224873098515517
poe:gpt-5.5,win_streak,turnover_events,3.0,5,-0.23333333333333303,-0.8166666666666659,0.30000000000000054,0.4867566216891554,-0.17849856731988
deepseek:deepseek-v4-pro,win_streak,total_return,3.0,5,0.014596967529813676,0.005221231694794713,0.024427931000113073,0.005997001499250375,0.37547529558082815
glm:glm-5,win_streak,total_return,3.0,5,0.0012582052636998483,-0.0015553275578704265,0.004122782772798699,0.3983008495752124,0.11100988996103936
poe:claude-opus-4.7,win_streak,total_return,3.0,5,0.0013032090249912383,-0.0007101601204931987,0.003376349749376243,0.22338830584707647,0.16205043533486269
poe:gemini-3.1-pro,win_streak,total_return,3.0,5,-0.002461749887100225,-0.0064366963447411475,0.0017448908430535042,0.2368815592203898,-0.14965465899772665
poe:gpt-5.5,win_streak,total_return,3.0,5,0.00024125072862200698,-0.001475192328957911,0.0018664440289912778,0.7776111944027986,0.06095552297947896
deepseek:deepseek-v4-pro,win_streak,max_drawdown,3.0,5,-8.265663600529849e-05,-0.00026351507276440434,8.893041314073032e-05,0.3728135932033983,-0.11857849907678696
glm:glm-5,win_streak,max_drawdown,3.0,5,-1.5038470264152305e-05,-0.00018331715636438886,0.00017246653244076625,0.8910544727636182,-0.020614451427994993
poe:claude-opus-4.7,win_streak,max_drawdown,3.0,5,-7.982485143851288e-06,-0.0001303739162063889,0.00010430069843757168,0.895552223888056,-0.01717526544414119
poe:gemini-3.1-pro,win_streak,max_drawdown,3.0,5,0.00011930889952171276,-0.0003700288936143825,0.0005880717421057312,0.638680659670165,0.059186734141723304
poe:gpt-5.5,win_streak,max_drawdown,3.0,5,4.0495700845956815e-05,-3.5877430433983685e-05,0.00016166606379917062,0.751624187906047,0.16660410535505185
