agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,blackout,max-position,1.0,1.0,hold_ratio,10,-0.17152777777777778,-0.28888888888888886,-0.061805555555555544,0.02734375,0.109375,-0.8855315797405608
deepseek:deepseek-v4-pro,blackout,none,1.0,1.0,hold_ratio,10,0.03819444444444443,0.004861111111111085,0.07222222222222222,0.080078125,0.1921875,0.6529854336104588
glm:glm-5,blackout,max-position,1.0,1.0,hold_ratio,10,0.054166666666666655,0.031944444444444435,0.07986111111111109,0.001953125,0.046875,1.338564128722106
glm:glm-5,blackout,none,1.0,1.0,hold_ratio,10,0.03611111111111111,0.016666666666666666,0.05416666666666666,0.013671875,0.109375,1.1512993512021237
poe:claude-opus-4.7,blackout,max-position,1.0,1.0,hold_ratio,10,-0.0027777777777777775,-0.009722222222222222,0.002777777777777779,0.625,0.7232142857142857,-0.2656844656620285
poe:claude-opus-4.7,blackout,none,1.0,1.0,hold_ratio,10,-0.0006944444444444461,-0.004861111111111113,0.0034722222222222194,1.0,1.0,-0.10056022847309888
deepseek:deepseek-v4-pro,blackout,max-position,1.0,1.0,turnover_events,10,8.566666666666666,3.7999999999999994,13.933333333333334,0.005859375,0.0703125,1.0064811022562166
deepseek:deepseek-v4-pro,blackout,none,1.0,1.0,turnover_events,10,1.8000000000000003,-1.1999999999999993,5.033333333333333,0.30859375,0.525,0.34741238354211074
glm:glm-5,blackout,max-position,1.0,1.0,turnover_events,10,-0.7333333333333322,-1.2666666666666657,-0.23333333333333214,0.0234375,0.109375,-0.8409178658720807
glm:glm-5,blackout,none,1.0,1.0,turnover_events,10,2.766666666666667,0.40000000000000036,5.033333333333334,0.068359375,0.1921875,0.6900446254639699
poe:claude-opus-4.7,blackout,max-position,1.0,1.0,turnover_events,10,0.03333333333333286,-0.16666666666666785,0.23333333333333287,1.0,1.0,0.10056022847309695
poe:claude-opus-4.7,blackout,none,1.0,1.0,turnover_events,10,0.9000000000000004,-0.7333333333333325,2.6333333333333337,0.3671875,0.5294117647058824,0.31671085179498154
deepseek:deepseek-v4-pro,blackout,max-position,1.0,1.0,total_return,10,0.039425668503257155,0.015103752990457093,0.06559462257544395,0.0234375,0.109375,0.9180419124642589
deepseek:deepseek-v4-pro,blackout,none,1.0,1.0,total_return,10,-0.019070053345711286,-0.03757951463063409,-5.241076721303195e-05,0.095703125,0.20880681818181818,-0.5945691937242622
glm:glm-5,blackout,max-position,1.0,1.0,total_return,10,-0.01105947238744268,-0.020755813278072327,-0.001295944333157406,0.07421875,0.1921875,-0.6645762152643796
glm:glm-5,blackout,none,1.0,1.0,total_return,10,-0.015648098436689805,-0.027889548945096192,-0.004458881518691965,0.041015625,0.140625,-0.790875967871929
poe:claude-opus-4.7,blackout,max-position,1.0,1.0,total_return,10,0.0011597662556296323,-0.0007893310509647505,0.0032462783348358947,0.328125,0.525,0.34479316875504057
poe:claude-opus-4.7,blackout,none,1.0,1.0,total_return,10,-0.004389567811215578,-0.010738923252342686,0.0015021716326472033,0.216796875,0.43359375,-0.41605273738562043
deepseek:deepseek-v4-pro,blackout,max-position,1.0,1.0,max_drawdown,10,9.464044883922284e-05,-0.00025234304702919833,0.0003864514448043626,0.6328125,0.7232142857142857,0.16939464869301474
deepseek:deepseek-v4-pro,blackout,none,1.0,1.0,max_drawdown,10,0.00036593908240794393,-0.00021012555184323932,0.0011338737290960395,0.40625,0.5416666666666666,0.31916198845036564
glm:glm-5,blackout,max-position,1.0,1.0,max_drawdown,10,-0.00011083848871104769,-0.00034195461639844693,9.191693264724394e-05,0.375,0.5294117647058824,-0.29406427161918025
glm:glm-5,blackout,none,1.0,1.0,max_drawdown,10,-0.00011250704223558046,-0.0006416858767933557,0.00044478397035301666,0.875,0.9545454545454546,-0.11895239208800089
poe:claude-opus-4.7,blackout,max-position,1.0,1.0,max_drawdown,10,8.852988856927757e-05,0.0,0.00023176660085395175,0.25,0.46153846153846156,0.3964076391181916
poe:claude-opus-4.7,blackout,none,1.0,1.0,max_drawdown,10,4.9646547851841237e-05,-0.00010147086438780907,0.00022557262992472696,0.59375,0.7232142857142857,0.1845907181378368
