agent,kind,outcome,max_dose,configured_dose,mean_delta,ci_low,ci_high,permutation_p_value,cohens_d
deepseek:deepseek-v4-pro,blackout,hold_ratio,1.0,1,-0.06666666666666668,-0.14305555555555555,0.005555555555555542,0.12243878060969515,-0.37883830034203986
glm:glm-5,blackout,hold_ratio,1.0,1,0.04513888888888888,0.03020833333333332,0.061111111111111116,0.0004997501249375312,1.2389087284687679
poe:claude-opus-4.7,blackout,hold_ratio,1.0,1,-0.0017361111111111119,-0.005555555555555557,0.0017361111111111106,0.5282358820589705,-0.19978980551207978
deepseek:deepseek-v4-pro,blackout,turnover_events,1.0,1,5.183333333333334,2.100000000000001,8.5,0.00399800099950025,0.6743464755408597
glm:glm-5,blackout,turnover_events,1.0,1,1.0166666666666675,-0.38333333333333275,2.533333333333334,0.19290354822588707,0.3038071008661123
poe:claude-opus-4.7,blackout,turnover_events,1.0,1,0.4666666666666666,-0.28333333333333355,1.3666666666666665,0.3448275862068966,0.23118026922112683
deepseek:deepseek-v4-pro,blackout,total_return,1.0,1,0.010177807578772935,-0.009826315168951473,0.030694308223158207,0.3488255872063968,0.21402694166577935
glm:glm-5,blackout,total_return,1.0,1,-0.013353785412066244,-0.021183738000711817,-0.005914620877239242,0.0079960019990005,-0.7439953162379404
poe:claude-opus-4.7,blackout,total_return,1.0,1,-0.0016149007777929727,-0.005275371650934937,0.0015270337955310617,0.3828085957021489,-0.19849406677830253
deepseek:deepseek-v4-pro,blackout,max_drawdown,1.0,1,0.0002302897656235834,-0.00011484563980685037,0.0006325488138567241,0.28585707146426786,0.2591070156778148
glm:glm-5,blackout,max_drawdown,1.0,1,-0.00011167276547331406,-0.00040563946599054266,0.00021826781181502603,0.5052473763118441,-0.15936371790166162
poe:claude-opus-4.7,blackout,max_drawdown,1.0,1,6.90882182105594e-05,-2.423708585793103e-05,0.0001797564638718367,0.22638680659670166,0.28616287338361945
