agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,hold_ratio,30,-0.04768518518518519,-0.12199074074074075,0.016898148148148145,0.19140429785107446,0.309375,-0.24661150138101207
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,hold_ratio,30,0.03472222222222222,-0.00995370370370371,0.08402777777777777,0.17641179410294852,0.309375,0.25710189779491066
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,hold_ratio,30,-0.04768518518518519,-0.12199074074074075,0.016898148148148145,0.19140429785107446,0.309375,-0.24661150138101207
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,hold_ratio,30,0.03472222222222222,-0.00995370370370371,0.08402777777777777,0.17641179410294852,0.309375,0.25710189779491066
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,hold_ratio,30,-0.15949074074074074,-0.2298611111111111,-0.0840277777777778,0.0009995002498750624,0.013326669998334165,-0.759083434458469
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,hold_ratio,30,0.039351851851851846,0.009490740740740721,0.06921296296296296,0.017491254372813594,0.08745627186406797,0.4582433538382648
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,hold_ratio,10,-0.07708333333333332,-0.12708333333333335,-0.026388888888888885,0.0234375,0.09375,-0.9232562932923905
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,hold_ratio,10,0.015277777777777762,-0.00902777777777779,0.04097222222222223,0.3046875,0.4513888888888889,0.36464644927248746
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,hold_ratio,10,-0.07708333333333332,-0.12708333333333335,-0.026388888888888885,0.0234375,0.09375,-0.9232562932923905
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,hold_ratio,10,0.015277777777777762,-0.00902777777777779,0.04097222222222223,0.3046875,0.4513888888888889,0.36464644927248746
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,turnover_events,30,2.622222222222222,-0.6444444444444443,6.3999999999999995,0.1519240379810095,0.309375,0.2696523847305666
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,turnover_events,30,0.08888888888888917,-1.2555555555555553,1.3000000000000005,0.9165417291354323,0.9165417291354323,0.025097891481644794
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,turnover_events,30,2.622222222222222,-0.6444444444444443,6.3999999999999995,0.1519240379810095,0.309375,0.2696523847305666
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,turnover_events,30,0.08888888888888917,-1.2555555555555553,1.3000000000000005,0.9165417291354323,0.9165417291354323,0.025097891481644794
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,turnover_events,30,8.655555555555555,5.111111111111111,11.955555555555554,0.0004997501249375312,0.013326669998334165,0.8751481369934401
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,turnover_events,30,2.155555555555556,0.6555555555555557,3.6111111111111116,0.009995002498750625,0.079960019990005,0.5166373512226221
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,turnover_events,10,1.7,0.6333333333333343,2.6666666666666656,0.015625,0.08745627186406797,1.0068840571522741
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,turnover_events,10,0.23333333333333392,-1.0999999999999992,1.3666666666666678,0.74609375,0.8289930555555556,0.11035830775015582
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,turnover_events,10,1.7,0.6333333333333343,2.6666666666666656,0.015625,0.08745627186406797,1.0068840571522741
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,turnover_events,10,0.23333333333333392,-1.0999999999999992,1.3666666666666678,0.74609375,0.8289930555555556,0.11035830775015582
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,total_return,30,0.012533381727721652,-0.0030666096589440075,0.03022262893278833,0.14742628685657172,0.309375,0.27076858991700153
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,total_return,30,-0.019239774609630143,-0.044087909913130545,0.0016452939585704504,0.1089455272363818,0.309375,-0.29396860893218313
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,total_return,30,0.012533381727721652,-0.0030666096589440075,0.03022262893278833,0.14742628685657172,0.309375,0.27076858991700153
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,total_return,30,-0.019239774609630143,-0.044087909913130545,0.0016452939585704504,0.1089455272363818,0.309375,-0.29396860893218313
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,total_return,30,0.03921359435169037,0.020192879191352448,0.05710745626461972,0.0009995002498750624,0.013326669998334165,0.751978354919081
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,total_return,30,-0.020826709156997334,-0.03414451144225036,-0.008147334883009455,0.004997501249375313,0.04997501249375313,-0.5623222465405047
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,total_return,10,-0.0007394570296581831,-0.007451517290181906,0.006410878036908066,0.85546875,0.9004934210526315,-0.061662047243348915
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,total_return,10,-0.009278684722465774,-0.02225745543085799,0.0019059291401417404,0.193359375,0.309375,-0.44435598372222507
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,total_return,10,-0.0007394570296581831,-0.007451517290181906,0.006410878036908066,0.85546875,0.9004934210526315,-0.061662047243348915
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,total_return,10,-0.009278684722465774,-0.02225745543085799,0.0019059291401417404,0.193359375,0.309375,-0.44435598372222507
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,max_drawdown,30,5.7845015415136675e-05,-0.0002100846381412305,0.00032025248351668224,0.6746626686656672,0.8088235294117647,0.07682809096327332
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,max_drawdown,30,-0.00021749128873406682,-0.0005328285945674915,4.6861734152166784e-05,0.18690654672663667,0.309375,-0.2512136889305155
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,max_drawdown,30,5.7845015415136675e-05,-0.0002100846381412305,0.00032025248351668224,0.6746626686656672,0.8088235294117647,0.07682809096327332
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,max_drawdown,30,-0.00021749128873406682,-0.0005328285945674915,4.6861734152166784e-05,0.18690654672663667,0.309375,-0.2512136889305155
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,max_drawdown,30,-0.0002501700355992052,-0.0005177011927047484,-8.438134235544385e-06,0.07546226886556721,0.2744082504202444,-0.3316241597563886
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,max_drawdown,30,-0.0002458479112178976,-0.0007009274687863928,0.00025110343109094264,0.3293353323338331,0.47047904619119013,-0.18198921758279557
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,max_drawdown,10,-0.00014344015558620516,-0.0008277549162279109,0.00042694523467549467,0.6875,0.8088235294117647,-0.13543327910564615
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,max_drawdown,10,0.00039170609383927627,-0.0005959831941277099,0.0014197734428597476,0.521484375,0.6953125,0.22726238905602433
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,max_drawdown,10,-0.00014344015558620516,-0.0008277549162279109,0.00042694523467549467,0.6875,0.8088235294117647,-0.13543327910564615
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,max_drawdown,10,0.00039170609383927627,-0.0005959831941277099,0.0014197734428597476,0.521484375,0.6953125,0.22726238905602433
