agent,kind,outcome,max_dose,configured_dose,mean_delta,ci_low,ci_high,permutation_p_value,cohens_d
deepseek:deepseek-v4-pro,fake_rejections,hold_ratio,0.75,0.75,-0.006481481481481488,-0.05069444444444446,0.03344907407407407,0.7856071964017991,-0.038015360204124986
deepseek:deepseek-v4-pro,fake_violations,hold_ratio,0.75,0.75,-0.006481481481481488,-0.05069444444444446,0.03344907407407407,0.7856071964017991,-0.038015360204124986
deepseek:deepseek-v4-pro,win_streak,hold_ratio,3.0,5,-0.060069444444444446,-0.10902777777777779,-0.015856481481481485,0.017991004497751123,-0.31937450420744506
poe:gemini-3.1-pro,fake_rejections,hold_ratio,0.75,0.75,-0.030902777777777786,-0.06701388888888889,0.0017361111111110952,0.10494752623688156,-0.38694112293607863
poe:gemini-3.1-pro,fake_violations,hold_ratio,0.75,0.75,-0.030902777777777786,-0.06701388888888889,0.0017361111111110952,0.10494752623688156,-0.38694112293607863
deepseek:deepseek-v4-pro,fake_rejections,turnover_events,0.75,0.75,1.3555555555555554,-0.26666666666666683,3.3722222222222222,0.17341329335332334,0.1839943698361302
deepseek:deepseek-v4-pro,fake_violations,turnover_events,0.75,0.75,1.3555555555555554,-0.26666666666666683,3.3722222222222222,0.17341329335332334,0.1839943698361302
deepseek:deepseek-v4-pro,win_streak,turnover_events,3.0,5,5.405555555555555,3.4944444444444445,7.561111111111112,0.0004997501249375312,0.6585343801622204
poe:gemini-3.1-pro,fake_rejections,turnover_events,0.75,0.75,0.966666666666667,0.08333333333333429,1.8,0.050974512743628186,0.48129705397044187
poe:gemini-3.1-pro,fake_violations,turnover_events,0.75,0.75,0.966666666666667,0.08333333333333429,1.8,0.050974512743628186,0.48129705397044187
deepseek:deepseek-v4-pro,fake_rejections,total_return,0.75,0.75,-0.003353196440954245,-0.018559281348876747,0.0102349449131399,0.6781609195402298,-0.05737834020238057
deepseek:deepseek-v4-pro,fake_violations,total_return,0.75,0.75,-0.003353196440954245,-0.018559281348876747,0.0102349449131399,0.6781609195402298,-0.05737834020238057
deepseek:deepseek-v4-pro,win_streak,total_return,3.0,5,0.00919344259734652,-0.003471814621194068,0.0232280314117063,0.18790604697651175,0.16991857678828146
poe:gemini-3.1-pro,fake_rejections,total_return,0.75,0.75,-0.005009070876061979,-0.012646912376542502,0.0023230944439275912,0.20189905047476261,-0.2922106977212352
poe:gemini-3.1-pro,fake_violations,total_return,0.75,0.75,-0.005009070876061979,-0.012646912376542502,0.0023230944439275912,0.20189905047476261,-0.2922106977212352
deepseek:deepseek-v4-pro,fake_rejections,max_drawdown,0.75,0.75,-7.982313665946507e-05,-0.00028299263753315504,0.00011786874954230538,0.4587706146926537,-0.09778766889551574
deepseek:deepseek-v4-pro,fake_violations,max_drawdown,0.75,0.75,-7.982313665946507e-05,-0.00028299263753315504,0.00011786874954230538,0.4587706146926537,-0.09778766889551574
deepseek:deepseek-v4-pro,win_streak,max_drawdown,3.0,5,-0.00024800897340855144,-0.0005155662103274783,4.023982218773332e-05,0.0814592703648176,-0.2286291841355686
poe:gemini-3.1-pro,fake_rejections,max_drawdown,0.75,0.75,0.00012413296912653558,-0.00044973043983367325,0.0007556330655402256,0.6881559220389805,0.08747165832280811
poe:gemini-3.1-pro,fake_violations,max_drawdown,0.75,0.75,0.00012413296912653558,-0.00044973043983367325,0.0007556330655402256,0.6881559220389805,0.08747165832280811
