mode,agent,outcome,family,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
instructed,deepseek:deepseek-v4-pro,hold_ratio,descriptive,30,0.230787037037037,0.1787037037037037,0.2840277777777777,0.0004997501249375312,,1.4578921664995093
instructed,glm:glm-5,hold_ratio,descriptive,30,0.019675925925925923,0.012268518518518515,0.02754629629629629,0.0004997501249375312,,0.8720024737811986
neutral,deepseek:deepseek-v4-pro,hold_ratio,neutral_primary,30,0.08402777777777778,0.04907407407407408,0.12199074074074075,0.0004997501249375312,0.0006663334999167083,0.8319317602116866
neutral,glm:glm-5,hold_ratio,neutral_primary,30,0.00995370370370371,0.0041666666666666735,0.015740740740740743,0.006496751624187906,0.006496751624187906,0.5931058801389815
instructed,deepseek:deepseek-v4-pro,mean_gross_target_exposure,descriptive,30,-0.35256944444444455,-0.4259722222222223,-0.28013888888888894,0.0004997501249375312,,-1.6143368337034303
instructed,glm:glm-5,mean_gross_target_exposure,descriptive,30,-0.06608796296296295,-0.07886574074074071,-0.05474537037037041,0.0004997501249375312,,-1.9505545683304455
neutral,deepseek:deepseek-v4-pro,mean_gross_target_exposure,neutral_primary,30,-0.14166666666666666,-0.19893518518518521,-0.09013888888888892,0.0004997501249375312,0.0006663334999167083,-0.9416757360097573
neutral,glm:glm-5,mean_gross_target_exposure,neutral_primary,30,-0.02254629629629632,-0.03236111111111113,-0.012546296296296318,0.0004997501249375312,0.0006663334999167083,-0.7795078212176818
instructed,deepseek:deepseek-v4-pro,turnover_events,descriptive,30,-2.8888888888888884,-5.033333333333333,-0.6555555555555556,0.020989505247376312,,-0.44958195059643236
instructed,glm:glm-5,turnover_events,descriptive,30,2.1222222222222222,0.8111111111111117,3.5888888888888895,0.006496751624187906,,0.5428513321030617
neutral,deepseek:deepseek-v4-pro,turnover_events,descriptive,30,0.13333333333333364,-1.2888888888888885,1.4555555555555557,0.8660669665167416,,0.034505048591806156
neutral,glm:glm-5,turnover_events,descriptive,30,0.7111111111111111,-0.511111111111111,2.0222222222222226,0.31584207896051975,,0.19186019147552
instructed,deepseek:deepseek-v4-pro,total_return,descriptive,30,-0.08839255760827114,-0.1119896678123323,-0.0662313408467898,0.0004997501249375312,,-1.324803182126163
instructed,glm:glm-5,total_return,descriptive,30,-0.006245134067795906,-0.012529850229762678,-0.0001553955847814444,0.06996501749125437,,-0.3468292649799216
neutral,deepseek:deepseek-v4-pro,total_return,descriptive,30,-0.0285529940054595,-0.04947064973091019,-0.010458813959765372,0.00399800099950025,,-0.5257519011917382
neutral,glm:glm-5,total_return,descriptive,30,-0.0033973139973481384,-0.007506020454792087,0.0005912407198699686,0.12893553223388307,,-0.29612674816277806
