regime,agent,outcome,family,paired_n,clean_mean,polluted_mean,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
bullish,deepseek:deepseek-v4-pro,hold_ratio,primary,30,0.3020833333333333,0.3861111111111111,0.08402777777777778,0.04907407407407408,0.12199074074074075,0.0004997501249375312,0.001999000499750125,0.8319317602116866
bullish,deepseek:deepseek-v4-pro,mean_gross_target_exposure,primary,30,1.0305555555555557,0.888888888888889,-0.14166666666666666,-0.19893518518518521,-0.09013888888888892,0.0004997501249375312,0.001999000499750125,-0.9416757360097573
bullish,deepseek:deepseek-v4-pro,total_return,exploratory,30,0.24304848219011885,0.21449548818465933,-0.0285529940054595,-0.04947064973091019,-0.010458813959765372,0.00399800099950025,,-0.5257519011917382
bullish,deepseek:deepseek-v4-pro,max_drawdown,exploratory,30,-0.005174596148338688,-0.005268741661298785,-9.414551296009766e-05,-0.0008429762085545073,0.0003883458197116392,0.9695152423788106,,-0.05187968436651464
bullish,glm:glm-5,hold_ratio,primary,30,0.14050925925925925,0.15046296296296297,0.00995370370370371,0.0041666666666666735,0.015740740740740743,0.006496751624187906,0.01113728849860784,0.5931058801389815
bullish,glm:glm-5,mean_gross_target_exposure,primary,30,1.3186342592592593,1.2960879629629631,-0.02254629629629632,-0.03236111111111113,-0.012546296296296318,0.0004997501249375312,0.001999000499750125,-0.7795078212176818
bullish,glm:glm-5,total_return,exploratory,30,0.30311312990322276,0.2997158159058746,-0.0033973139973481384,-0.007506020454792087,0.0005912407198699686,0.12893553223388307,,-0.29612674816277806
bullish,glm:glm-5,max_drawdown,exploratory,30,-0.005542722040567411,-0.005423311217117587,0.00011941082344982438,-0.0001662092327496134,0.0003875469922188382,0.440279860069965,,0.1498236439950248
bearish,deepseek:deepseek-v4-pro,hold_ratio,primary,30,0.8652777777777777,0.8668981481481483,0.0016203703703703757,-0.011574074074074096,0.015046296296296302,0.8460769615192404,0.8460769615192404,0.04112914115511861
bearish,deepseek:deepseek-v4-pro,mean_gross_target_exposure,primary,30,0.18534722222222222,0.17472222222222225,-0.010624999999999997,-0.0275,0.006388888888888892,0.24037981009495252,0.3205064134599367,-0.21790820885217368
bearish,deepseek:deepseek-v4-pro,total_return,exploratory,30,-0.06932518231769189,-0.06688674740702645,0.0024384349106654378,-0.0068340212487945345,0.011387041980100368,0.6066966516741629,,0.09583121336380203
bearish,deepseek:deepseek-v4-pro,max_drawdown,exploratory,30,-0.07047834678908041,-0.06809588584442282,0.002382460944657592,-0.006788244146786666,0.011259693749612418,0.6126936531734133,,0.09454585068530424
bearish,glm:glm-5,hold_ratio,primary,30,0.8314814814814814,0.829861111111111,-0.001620370370370372,-0.00925925925925926,0.005555555555555558,0.7186406796601699,0.7839716505383673,-0.07713519817483462
bearish,glm:glm-5,mean_gross_target_exposure,primary,30,0.2493287037037037,0.2518518518518518,0.0025231481481481424,-0.007314814814814824,0.012939814814814809,0.6351824087956022,0.7622188905547226,0.08646149792408038
bearish,glm:glm-5,total_return,exploratory,30,-0.09606460192317905,-0.09954560628175671,-0.0034810043585776513,-0.00781607187918599,0.0006394682482965417,0.13693153423288357,,-0.28266480021343937
bearish,glm:glm-5,max_drawdown,exploratory,30,-0.09740858485561281,-0.1009968114654578,-0.003588226609844994,-0.007901557478976392,0.0005423055351566829,0.12043978010994502,,-0.2945813036127602
sideways,deepseek:deepseek-v4-pro,hold_ratio,primary,30,0.5958333333333333,0.6300925925925926,0.03425925925925925,0.0136574074074074,0.055324074074074074,0.004497751124437781,0.008995502248875561,0.5669391869455638
sideways,deepseek:deepseek-v4-pro,mean_gross_target_exposure,primary,30,0.5758564814814815,0.5190740740740741,-0.05678240740740739,-0.08525462962962964,-0.029004629629629592,0.0009995002498750624,0.0029985007496251873,-0.6919657244283577
sideways,deepseek:deepseek-v4-pro,total_return,exploratory,30,-0.017259026451242648,-0.015692684782141485,0.001566341669101159,-0.0018362685057585388,0.005052337066171364,0.3873063468265867,,0.15882185894700296
sideways,deepseek:deepseek-v4-pro,max_drawdown,exploratory,30,-0.033919259662741515,-0.03285634162745035,0.0010629180352911638,-0.0015030499246383485,0.003498751083888624,0.4197901049475262,,0.14644549507439433
sideways,glm:glm-5,hold_ratio,primary,30,0.49259259259259264,0.5039351851851852,0.011342592592592592,0.003240740740740755,0.019212962962962966,0.00849575212393803,0.012743628185907047,0.510410937409384
sideways,glm:glm-5,mean_gross_target_exposure,primary,30,0.762962962962963,0.7415972222222222,-0.021365740740740744,-0.03226851851851849,-0.01097222222222221,0.0024987506246876563,0.005997001499250375,-0.6935623809878061
sideways,glm:glm-5,total_return,exploratory,30,-0.016566319440734712,-0.01653690440706641,2.9415033668301774e-05,-0.003636561610988851,0.003514292907885136,0.9830084957521239,,0.0028998207988492632
sideways,glm:glm-5,max_drawdown,exploratory,30,-0.03952946830248046,-0.039210666899807366,0.0003188014026730994,-0.0020654640159578994,0.002732082801251645,0.815592203898051,,0.045780196683673655
