scenario_key,scenario_label,stress_family,provider,model,run_count,avg_return,std_return,return_ci_low,return_ci_high,worst_drawdown,avg_sharpe,std_sharpe,avg_fill_rate,avg_alpha_quality,avg_risk_discipline,avg_execution_robustness,evidence_tags,claim_scope
calm_trend,Calm trend,market,poe,kimi-k2.5,1,0.0319117870102712,0.0,0.0319117870102712,0.0319117870102712,-0.0008398349500295943,15.68365700095113,0.0,0.75,0.8612188645225303,0.59375,0.7753779637625458,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,poe,claude-opus-4.7,1,0.030886452642615136,0.0,0.030886452642615136,0.030886452642615136,-0.0008398349500295943,20.34187953957956,0.0,0.8461538461538461,0.9206770758829952,0.625,0.8429033502930259,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,poe,gpt-5.5,1,0.028843014038501424,0.0,0.028843014038501424,0.028843014038501424,-0.0008398349500295943,18.135519198060095,0.0,0.8333333333333334,0.9086959667691339,0.65625,0.8559657629397361,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,deepseek,deepseek-v4-flash,1,0.0256595690093544,0.0,0.0256595690093544,0.0256595690093544,-0.0008398349500295943,17.199194358610892,0.0,0.8333333333333334,0.8995025208436995,0.625,0.8454055159265438,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,poe,glm-5,1,0.0256595690093544,0.0,0.0256595690093544,0.0256595690093544,-0.0008398349500295943,17.199194358610892,0.0,0.8333333333333334,0.9133548064848347,0.625,0.8454055159265438,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,poe,gemini-3.1-pro,1,0.025349810909030213,0.0,0.025349810909030213,0.025349810909030213,-0.0008398349500295943,16.029674089054723,0.0,0.6666666666666666,0.7712290969297805,0.75,0.7375806271369614,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,deepseek,deepseek-v4-pro,1,0.02395016123958449,0.0,0.02395016123958449,0.02395016123958449,-0.0005222525977854886,7.285735559476281,0.0,0.6666666666666666,0.8220672808302407,0.0,0.7534895122452637,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
calm_trend,Calm trend,market,baseline,random,5,0.017187006437121077,0.012455134781450529,0.008628611507481043,0.02756724586074628,-0.0068718417700183165,8.403327246560544,3.892283295386895,0.7393650793650793,0.8102200962270565,0.175,0.7904723766948023,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
calm_trend,Calm trend,market,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
high_vol,High volatility,market,poe,gemini-3.1-pro,1,0.014380820994550625,0.0,0.014380820994550625,0.014380820994550625,-0.004041424009702865,6.936511012321784,0.0,0.75,0.7538477726651104,0.8125,0.7541399086221355,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
high_vol,High volatility,market,baseline,random,5,0.006943304478382539,0.025497256056207163,-0.014302808786136345,0.026264994288790387,-0.026208920987119466,1.0199506049491416,9.239081528048528,0.7788095238095238,0.8066502445779798,0.4625,0.7856487697377962,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
high_vol,High volatility,market,poe,claude-opus-4.7,1,0.004469174811702281,0.0,0.004469174811702281,0.004469174811702281,-0.00582775325630025,1.9820421506448034,0.0,0.75,0.7155968131425742,0.75,0.7912394849494235,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
