provider,model,baseline_provider,baseline_model,paired_n,mean_return_delta,delta_ci_low,delta_ci_high,bootstrap_p_value,permutation_p_value
baseline,always-hold,baseline,always-hold,30,0.0,0.0,0.0,1.0,1.0
baseline,always-hold,baseline,random,30,-0.011287187793370316,-0.021246576958355367,-0.001908744269027122,0.018,0.037
baseline,random,baseline,always-hold,30,0.011287187793370316,0.001908744269027122,0.021246576958355367,0.018,0.037
baseline,random,baseline,random,30,0.0,0.0,0.0,1.0,1.0
deepseek,deepseek-v4-flash,baseline,always-hold,6,0.012540881154505393,-0.0016608882161605425,0.02724754178116891,0.096,0.15625
deepseek,deepseek-v4-flash,baseline,random,6,0.00791855531838942,-0.007232231706261361,0.022891472241653443,0.29,0.375
deepseek,deepseek-v4-pro,baseline,always-hold,6,0.012408669651569726,0.005367406575643867,0.019449932727495584,0.0,0.03125
deepseek,deepseek-v4-pro,baseline,random,6,0.007786343815453752,-0.0039072900517572355,0.016816015558163238,0.156,0.21875
poe,claude-opus-4.7,baseline,always-hold,6,0.013610783125039974,-0.001319954401076795,0.028541520651156744,0.079,0.15625
poe,claude-opus-4.7,baseline,random,6,0.008988457288924001,-0.007033477007936902,0.024369025595557665,0.262,0.34375
poe,gemini-3.1-pro,baseline,always-hold,6,0.01711388335944029,0.006856347852632209,0.026254462387324023,0.001,0.0625
poe,gemini-3.1-pro,baseline,random,6,0.012491557523324315,0.0036144877529194117,0.021043311316936264,0.006,0.09375
poe,glm-5,baseline,always-hold,6,0.008293040958075074,-0.0008377827681905758,0.017607646601424592,0.117,0.15625
poe,glm-5,baseline,random,6,0.0036707151219591005,-0.007879146732300871,0.01510676639898408,0.515,0.625
poe,gpt-5.5,baseline,always-hold,6,0.013158236190487801,-0.0014319282349433509,0.027809118456382082,0.082,0.15625
poe,gpt-5.5,baseline,random,6,0.008535910354371826,-0.007145450841803458,0.023777786615951462,0.274,0.375
poe,kimi-k2.5,baseline,always-hold,6,0.016124146753345003,0.0036596645341859246,0.0299376172038604,0.0,0.0625
poe,kimi-k2.5,baseline,random,6,0.01150182091722903,-0.0034134056591340056,0.025170561504289386,0.119,0.21875
