provider,model,baseline_provider,baseline_model,paired_n,mean_return_delta,delta_ci_low,delta_ci_high,bootstrap_p_value,permutation_p_value
baseline,always-hold,baseline,always-hold,10,0.0,0.0,0.0,1.0,1.0
baseline,always-hold,baseline,random,10,-0.001709480329113,-0.045591505468738656,0.04400308494522106,0.907,0.9375
baseline,random,baseline,always-hold,10,0.001709480329113,-0.04400308494522106,0.045591505468738656,0.907,0.9375
baseline,random,baseline,random,10,0.0,0.0,0.0,1.0,1.0
deepseek,deepseek-v4-flash,baseline,always-hold,10,-0.07089085421296851,-0.10833826237229893,-0.03062883522184646,0.0,0.017578125
deepseek,deepseek-v4-flash,baseline,random,10,-0.07260033454208151,-0.12436783225388377,-0.01575667399764017,0.019,0.0390625
deepseek,deepseek-v4-pro,baseline,always-hold,10,-0.05323762347984523,-0.08737264539372955,-0.02254860346226838,0.0,0.00390625
deepseek,deepseek-v4-pro,baseline,random,10,-0.05494710380895823,-0.11254308603064848,0.004272317344816412,0.092,0.1171875
poe,claude-opus-4.7,baseline,always-hold,10,-0.04088664474516619,-0.08031879508098894,-0.003108574784591944,0.029,0.09375
poe,claude-opus-4.7,baseline,random,10,-0.04259612507427919,-0.10121061979309745,0.0152609429186778,0.152,0.205078125
poe,gemini-3.1-pro,baseline,always-hold,10,-0.04861072033192371,-0.09217420222102526,-0.0018383597699073051,0.021,0.0703125
poe,gemini-3.1-pro,baseline,random,10,-0.05032020066103671,-0.10297193076733065,0.005824801486324194,0.074,0.115234375
poe,glm-5,baseline,always-hold,10,-0.05977159879851055,-0.10159215119760041,-0.018615205780999955,0.003,0.046875
poe,glm-5,baseline,random,10,-0.06148107912762355,-0.12415781387666107,0.0032442853141323225,0.083,0.111328125
poe,gpt-5.5,baseline,always-hold,10,-0.06484070472942526,-0.1026818036076607,-0.024709607638622687,0.0,0.02734375
poe,gpt-5.5,baseline,random,10,-0.06655018505853826,-0.12227246474500797,-0.009711656149511017,0.037,0.064453125
poe,kimi-k2.5,baseline,always-hold,10,-0.05739805767180617,-0.09291358646756008,-0.01840527504318502,0.001,0.029296875
poe,kimi-k2.5,baseline,random,10,-0.05910753800091917,-0.11234811953232512,-0.0032193745338442437,0.062,0.080078125
