acceleration_rate,anchors,cohort,embedding,mean_effective_rank_delta,mean_pre_shift,mean_pre_to_normal_step_ratio,pre_steps,rank_contraction_rate,trajectories,view
0.5875,80,all_llm,hash64,8.7028572,0.12227981,1.0193101,320,0.975,8,plan
0.575,40,deepseek,hash64,7.8128275,0.14048216,1.0367987,160,0.975,4,plan
0.6,40,frontier_matrix,hash64,9.592887,0.10407747,1.0018214,160,0.975,4,plan
0.575,80,all_llm,hash64,0.47095302,0.071030996,1.0116629,320,0.675,8,fused
0.55,40,deepseek,hash64,1.118054,0.084902166,1.0169875,160,0.7,4,fused
0.6,40,frontier_matrix,hash64,-0.17614799,0.057159826,1.0063382,160,0.65,4,fused
0.45,80,all_llm,lsa32,4.870181,0.097063935,0.97589016,320,0.85,8,plan
0.55,40,deepseek,lsa32,6.1740314,0.10396168,1.0025537,160,0.95,4,plan
0.35,40,frontier_matrix,lsa32,3.5663306,0.090166194,0.94922666,160,0.75,4,plan
0.4125,80,all_llm,lsa32,5.1234078,0.083702122,0.96576933,320,0.8625,8,fused
0.525,40,deepseek,lsa32,4.5330257,0.087478796,1.0000192,160,0.925,4,fused
0.3,40,frontier_matrix,lsa32,5.71379,0.079925449,0.93151943,160,0.8,4,fused
