protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,7,0.200807,24.930539,-0.006348,1.0,0,16.43307,0.3,1.2e-05,0.299988,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,11,0.281519,28.811429,0.0,1.0,0,16.270292,0.3,2.9e-05,0.299995,0.300128,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,17,0.224956,23.747117,-0.000427,1.0,0,16.767298,0.3,1.5e-05,0.299997,0.300095,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,23,0.263391,29.002415,0.0,1.0,0,16.487746,0.3,2.5e-05,0.299989,0.300175,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,31,0.235928,32.144277,0.0,1.0,0,16.392131,0.3,3.5e-05,0.299978,0.300096,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,37,0.323029,40.018521,0.0,1.0,0,16.7273,0.3,2.1e-05,0.300007,0.300162,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,41,0.213434,25.966186,-1.9e-05,1.0,0,16.551056,0.3,3.5e-05,0.299998,0.30024,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,43,0.260743,29.983338,0.0,1.0,0,16.39137,0.3,1e-05,0.29999,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,47,0.23816,28.057327,0.0,1.0,0,16.350136,0.3,2.8e-05,0.299997,0.300186,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,53,0.210151,23.374828,-0.001149,1.0,0,16.225538,0.3,3e-05,0.299996,0.300194,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
