protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,7,0.175891,11.090266,-0.020425,1.0,0,18.664623,0.3,1.3e-05,0.299997,0.30013,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,11,0.354761,18.001264,-0.007865,1.0,0,18.189867,0.3,1.5e-05,0.299985,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,17,0.220219,11.471753,-0.011274,1.0,0,19.781527,0.3,1e-05,0.299993,0.300043,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,23,0.308176,16.698582,-0.005188,1.0,0,18.965068,0.3,8e-06,0.299992,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,31,0.258711,17.924114,-0.006586,1.0,0,18.917578,0.3,2.4e-05,0.299992,0.300093,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,37,0.450969,25.98856,-0.002588,1.0,0,19.356575,0.3,9e-06,0.299993,0.300034,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,41,0.198403,12.045257,-0.016064,1.0,0,19.290322,0.3,8e-06,0.299992,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,43,0.304057,17.132153,-0.009085,1.0,0,18.05187,0.3,1.5e-05,0.299986,0.300006,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,47,0.248244,14.021929,-0.011569,1.0,0,18.703789,0.3,8e-06,0.299992,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,53,0.190859,10.222761,-0.017079,1.0,0,18.282693,0.3,1.8e-05,0.299984,0.300019,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,59,0.269951,13.380033,-0.008995,1.0,0,18.133045,0.3,1.1e-05,0.299989,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,61,0.227503,15.653725,-0.009119,1.0,0,18.136073,0.3,1.5e-05,0.299992,0.300078,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,67,0.234296,11.247143,-0.031756,1.0,0,18.495808,0.3,1e-05,0.29999,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,71,0.341923,17.29982,-0.011095,1.0,0,18.598527,0.3,1.3e-05,0.299987,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,73,0.293826,15.480991,-0.017047,1.0,0,18.999811,0.3,1.5e-05,0.299999,0.300167,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,79,0.170032,11.251504,-0.013287,1.0,0,19.095519,0.3,1e-05,0.299994,0.300049,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,83,0.199518,11.422802,-0.011812,1.0,0,19.211651,0.3,1.3e-05,0.299992,0.300052,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,89,0.245641,11.487291,-0.012757,1.0,0,18.178493,0.3,1.9e-05,0.300004,0.300149,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,97,0.163613,10.403974,-0.01127,1.0,0,19.863156,0.3,1.4e-05,0.299997,0.300143,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,101,0.124966,8.59969,-0.03254,1.0,0,19.564323,0.3,1.1e-05,0.299989,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,103,0.166022,9.015307,-0.019104,1.0,0,19.420181,0.3,8e-06,0.299992,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,107,0.231073,12.535233,-0.012826,1.0,0,19.463326,0.3,2e-05,0.299998,0.300212,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,109,0.350245,18.605828,-0.009577,1.0,0,19.342589,0.3,1.9e-05,0.299995,0.300138,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,113,0.22684,12.831507,-0.010213,1.0,0,19.091903,0.3,8e-06,0.299992,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,127,0.324254,16.705232,-0.009726,1.0,0,19.07477,0.3,2.3e-05,0.299992,0.300174,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,131,0.213201,10.832981,-0.031862,1.0,0,18.59053,0.3,2e-05,0.299995,0.300182,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,137,0.137804,6.56159,-0.053758,1.0,0,17.966935,0.3,1.7e-05,0.299993,0.300128,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,139,0.295283,18.672281,-0.00989,1.0,0,17.914854,0.3,1.8e-05,0.299982,0.300004,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,149,0.256642,10.480949,-0.022661,1.0,0,18.95881,0.3,1.6e-05,0.299991,0.300082,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,151,0.285038,20.694339,-0.003198,1.0,0,19.403679,0.3,8e-06,0.299992,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,7,0.117369,10.426951,-0.009285,1.0,0,29.07645,0.191725,1.4e-05,0.191724,0.555856,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,11,0.220311,11.136551,-0.010065,1.0,0,29.737162,0.508652,7e-06,0.508645,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,17,0.146009,8.853843,-0.011275,1.0,0,55.179794,0.319804,1.3e-05,0.319799,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,23,0.200858,14.839166,-0.000702,1.0,0,16.303982,0.387584,6e-06,0.387583,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,31,0.174741,12.867751,-0.000879,1.0,0,30.534597,0.347975,1.1e-05,0.347976,0.852585,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,37,0.259535,15.101429,-0.000105,1.0,0,31.104996,0.527942,9e-06,0.527936,0.900034,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,41,0.105104,7.83855,-0.015889,1.0,0,25.094891,0.273764,9e-06,0.273763,0.605248,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,43,0.226384,14.926075,-0.001034,1.0,0,30.182809,0.436017,2.2e-05,0.435997,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,47,0.19724,11.445782,-0.014132,1.0,0,47.773081,0.345634,1e-05,0.345626,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,53,0.085303,6.067639,-0.016447,1.0,0,60.571025,0.281879,1.6e-05,0.281869,0.899998,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,59,0.17362,10.879597,-0.008204,1.0,0,52.048459,0.35337,1.5e-05,0.353358,0.899997,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,61,0.141075,11.131803,-0.009119,1.0,0,32.317627,0.283674,9e-06,0.283666,0.794117,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,67,0.152798,11.861055,-0.003769,1.0,0,31.094631,0.37065,8e-06,0.370642,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,71,0.195447,10.959557,-0.011099,1.0,0,31.247164,0.444724,1.3e-05,0.444712,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,73,0.156173,11.330101,-0.008436,1.0,0,16.020868,0.471155,1.3e-05,0.471157,0.9,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,79,0.072843,8.107739,-0.008415,1.0,0,35.909208,0.226173,1.2e-05,0.226169,0.449999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,83,0.140133,8.791801,-0.011876,1.0,0,42.806536,0.207117,2e-05,0.20712,0.776614,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,89,0.186851,11.43129,-0.007186,1.0,0,30.728225,0.374726,1.8e-05,0.374735,0.900149,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,97,0.087438,7.500155,-0.010502,1.0,0,60.722618,0.081922,1.8e-05,0.081925,0.398926,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,101,0.03787,5.030661,-0.014139,1.0,0,60.664739,0.114549,1.3e-05,0.114545,0.449999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,103,0.087067,7.003955,-0.013927,1.0,0,29.84718,0.264946,1e-05,0.264943,0.67998,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,107,0.095779,8.194997,-0.012834,1.0,0,64.250319,0.237839,2e-05,0.237827,0.530271,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,109,0.24248,14.063011,-3.4e-05,1.0,0,19.509169,0.416983,1.3e-05,0.416987,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,113,0.173355,11.310953,-0.003826,1.0,0,52.010277,0.230029,1.2e-05,0.230023,0.797804,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,127,0.192378,12.715501,-0.000658,1.0,0,17.172894,0.488612,1.4e-05,0.488613,0.900174,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,131,0.151521,10.03922,-0.013696,1.0,0,33.064281,0.325261,2e-05,0.325259,0.843369,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,137,0.129167,8.940315,-0.008411,1.0,0,20.776139,0.276154,6e-06,0.276153,0.888387,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,139,0.211002,16.066069,-3.4e-05,1.0,0,44.71557,0.392534,1.1e-05,0.392524,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,149,0.198286,10.804251,-0.01433,1.0,0,19.662746,0.304788,1e-05,0.304781,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,151,0.194943,14.36724,-0.000105,1.0,0,30.461567,0.389503,7e-06,0.3895,0.80453,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,7,0.15307,12.594121,-0.00978,1.0,0,57.782325,0.0,1.5e-05,1.5e-05,8.1e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,11,0.310552,17.682074,-0.007865,1.0,0,33.963535,0.0,1.2e-05,1.2e-05,7.3e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,17,0.115614,7.497122,-0.016264,1.0,0,61.260257,0.0,2.1e-05,2.1e-05,7.5e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,23,0.224082,13.758683,-0.004,1.0,0,55.033,0.0,1.6e-05,1.6e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,31,0.237129,16.501875,-0.006901,1.0,0,35.423907,0.0,1.2e-05,1.2e-05,4.3e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,37,0.387117,22.199288,-0.002588,1.0,0,34.092621,0.0,1.3e-05,1.3e-05,7.4e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,41,0.173957,12.831436,-0.007201,1.0,0,41.546867,0.0,2e-05,2e-05,0.000154,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
