protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,7,0.43423,12.666565,-0.01698,1.0,0,22.656731,0.3,2.2e-05,0.299978,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,11,0.368088,11.453615,-0.023341,1.0,0,20.522552,0.3,1.3e-05,0.299996,0.300117,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,17,0.287068,8.630814,-0.043361,1.0,0,20.231759,0.3,1.3e-05,0.299987,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,23,0.225805,7.962996,-0.049656,1.0,0,21.265558,0.3,1.1e-05,0.29999,0.300006,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,31,0.42151,12.116208,-0.008935,1.0,0,21.343212,0.3,9e-06,0.299991,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,37,0.256692,7.650353,-0.037207,1.0,0,23.334906,0.3,1e-05,0.29999,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,41,0.246502,7.990576,-0.042646,1.0,0,22.155165,0.3,9e-06,0.299991,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,43,0.192834,6.20072,-0.036884,1.0,0,23.341795,0.3,1e-05,0.29999,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,47,0.232793,6.995137,-0.047531,1.0,0,20.667599,0.3,9e-06,0.299991,0.3,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,buy-and-hold,53,0.424387,12.301636,-0.029572,1.0,0,22.787957,0.3,9e-06,0.299991,0.299999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
