model,scenario,E0_sharpe,E1_sharpe,E0_return,E1_return,sharpe_drop_E0_to_E1,n_per_cell
deepseek-v4-pro,calm,0.000,0.000,0.0000,0.0000,0.000,30
deepseek-v4-pro,highvol,0.000,0.000,0.0000,0.0000,0.000,30
deepseek-v4-pro,jumptail,0.106,0.000,0.0002,0.0000,0.106,30
deepseek-v4-flash,calm,24.248,19.352,0.2076,0.1971,4.896,30
deepseek-v4-flash,highvol,11.894,10.919,0.2002,0.1910,0.975,30
deepseek-v4-flash,jumptail,7.749,7.068,0.2031,0.2204,0.682,30
glm-5,calm,27.276,22.272,0.2282,0.2034,5.005,30
glm-5,highvol,15.266,13.267,0.2435,0.2178,1.998,30
glm-5,jumptail,8.916,7.921,0.2719,0.2380,0.996,30
glm-5-turbo,calm,22.073,19.239,0.1128,0.1046,2.833,30
glm-5-turbo,highvol,10.940,9.885,0.1021,0.0890,1.054,30
glm-5-turbo,jumptail,5.623,6.249,0.1101,0.1154,-0.626,30
glm-5.2,calm,28.408,22.481,0.2376,0.2172,5.927,30
glm-5.2,highvol,15.486,13.574,0.2581,0.2362,1.912,30
glm-5.2,jumptail,9.371,7.419,0.2841,0.2272,1.952,30
