model,regime,level,sharpe_mean,ci95_lo,ci95_hi,n_seeds,n_samples_per_seed
deepseek-v4-pro,calm,E0,0.0000,0.0000,0.0000,10,3
deepseek-v4-pro,high_vol,E0,0.0000,0.0000,0.0000,10,3
deepseek-v4-pro,jump_tail,E0,0.1057,0.0000,0.3170,10,3
deepseek-v4-pro,calm,E1,0.0000,0.0000,0.0000,10,3
deepseek-v4-pro,high_vol,E1,0.0000,0.0000,0.0000,10,3
deepseek-v4-pro,jump_tail,E1,0.0000,0.0000,0.0000,10,3
deepseek-v4-flash,calm,E0,24.2478,21.3453,27.2455,10,3
deepseek-v4-flash,high_vol,E0,11.8942,7.4068,16.4040,10,3
deepseek-v4-flash,jump_tail,E0,7.7493,6.4404,9.0976,10,3
deepseek-v4-flash,calm,E1,19.3518,17.0162,21.6318,10,3
deepseek-v4-flash,high_vol,E1,10.9191,8.0907,13.6803,10,3
deepseek-v4-flash,jump_tail,E1,7.0677,5.0218,8.9476,10,3
glm-5,calm,E0,27.2764,24.5925,30.0177,10,3
glm-5,high_vol,E0,15.2656,12.9922,17.6338,10,3
glm-5,jump_tail,E0,8.9164,7.5086,10.2944,10,3
glm-5,calm,E1,22.2719,20.2425,24.4793,10,3
glm-5,high_vol,E1,13.2672,11.0302,15.6213,10,3
glm-5,jump_tail,E1,7.9208,5.9536,9.9546,10,3
glm-5-turbo,calm,E0,22.0729,18.2334,26.0276,10,3
glm-5-turbo,high_vol,E0,10.9399,8.4893,13.2262,10,3
glm-5-turbo,jump_tail,E0,5.6235,3.2550,7.7550,10,3
glm-5-turbo,calm,E1,19.2395,16.4804,22.2228,10,3
glm-5-turbo,high_vol,E1,9.8854,7.0829,12.7266,10,3
glm-5-turbo,jump_tail,E1,6.2493,4.4142,7.9880,10,3
glm-5.2,calm,E0,28.4081,25.9699,31.3058,10,3
glm-5.2,high_vol,E0,15.4862,12.9641,18.3444,10,3
glm-5.2,jump_tail,E0,9.3710,8.0683,10.6827,10,3
glm-5.2,calm,E1,22.4814,21.1165,23.5224,10,3
glm-5.2,high_vol,E1,13.5741,11.6822,15.5264,10,3
glm-5.2,jump_tail,E1,7.4189,5.4400,9.5687,10,3
