protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,7,0.117369,10.426951,-0.009285,1.0,0,29.07645,0.191725,1.4e-05,0.191724,0.555856,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,11,0.220311,11.136551,-0.010065,1.0,0,29.737162,0.508652,7e-06,0.508645,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,7,0.15307,12.594121,-0.00978,1.0,0,57.782325,0.0,1.5e-05,1.5e-05,8.1e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,11,0.310552,17.682074,-0.007865,1.0,0,33.963535,0.0,1.2e-05,1.2e-05,7.3e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,7,0.166119,10.851139,-0.020439,1.0,0,24.729242,0.0,2e-05,2e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,11,0.350347,17.949137,-0.007865,1.0,0,20.264697,0.0,1.1e-05,1.1e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,random,7,0.146931,11.741555,-0.006533,1.0,0,158.183166,0.0,3.4e-05,3.4e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E0,ideal execution,ideal,random,11,0.235761,12.576047,-0.008269,1.0,0,192.137379,0.0,4.4e-05,4.4e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,7,0.096534,9.389638,-0.011123,0.941176,0,1217.864146,0.191725,0.182206,0.304664,0.770147,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,11,0.242197,10.128425,-0.003674,0.918919,1,1276.615394,0.508652,0.168669,0.577005,1.195146,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,7,0.166438,10.029608,-0.009688,0.921053,1,1967.068716,0.0,0.313325,0.313325,0.667969,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,11,0.297634,17.271901,-0.007949,0.928571,1,2137.714471,0.0,0.255287,0.255287,0.539277,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,7,0.15034,9.518242,-0.022023,0.9375,1,1631.604809,0.0,0.270111,0.270111,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,11,0.313478,16.306384,-0.008983,0.93617,1,2056.777254,0.0,0.24494,0.24494,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,random,7,0.127639,8.620784,-0.019044,0.911111,2,1932.309662,0.0,0.406393,0.406393,1.0,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E1,paper stress execution,realistic,random,11,0.245738,11.365309,-0.00281,0.893617,3,2643.466729,0.0,0.402715,0.402715,1.0,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,signal-weighted,7,0.117573,10.525525,-0.003331,0.69697,4,1163.717886,0.191725,0.255077,0.25919,1.19402,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,signal-weighted,11,0.145465,7.469568,-0.013209,0.605263,9,1634.902571,0.508652,0.322682,0.710298,1.597771,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_high_volatility_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,naive-momentum,7,0.131548,8.729334,-0.021906,0.657895,8,2700.754926,0.0,0.554775,0.554775,1.322022,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
