protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,7,0.300788,8.819657,-0.018057,1.0,0,37.270686,0.367945,1.3e-05,0.367934,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,11,0.219914,11.861324,-0.000516,1.0,0,16.806208,0.391807,5e-06,0.391803,0.899992,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,7,0.326976,10.507441,-0.018641,1.0,0,53.317519,0.0,1.6e-05,1.6e-05,5.3e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,11,0.218791,11.264135,-0.011175,1.0,0,45.18452,0.0,1.4e-05,1.4e-05,7.8e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,7,0.428057,12.746521,-0.01698,1.0,0,29.795729,0.0,1.6e-05,1.6e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,11,0.34392,11.186391,-0.023341,1.0,0,33.422916,0.0,1.3e-05,1.3e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,random,7,0.342071,10.730091,-0.013453,1.0,0,169.427041,0.0,3.8e-05,3.8e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E0,ideal execution,ideal,random,11,0.165113,8.060236,-0.023341,1.0,0,184.212394,0.0,4.2e-05,4.2e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,7,0.248714,8.766849,-0.01899,0.918919,1,1860.810602,0.367945,0.191012,0.467472,1.057061,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,11,0.203241,11.048822,-0.004069,0.941176,0,1061.894124,0.391807,0.138413,0.420487,1.029444,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,7,0.326414,7.923123,-0.023645,0.911111,2,2873.620188,0.0,0.247824,0.247824,0.510668,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,11,0.146252,8.287991,-0.02347,0.894737,2,2219.702809,0.0,0.289632,0.289632,0.636493,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,7,0.346327,11.487871,-0.019701,0.9375,1,2669.764188,0.0,0.249476,0.249476,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,11,0.54215,10.43162,-0.005117,0.916667,2,2743.548776,0.0,0.293632,0.293632,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,random,7,0.295363,7.850825,-0.029172,0.888889,3,3575.053655,0.0,0.411953,0.411953,1.0,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E1,paper stress execution,realistic,random,11,0.311083,7.9559,-0.007266,0.893617,3,3256.170538,0.0,0.402368,0.402368,1.0,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,signal-weighted,7,0.167424,4.394973,-0.019137,0.578947,10,2276.840647,0.367945,0.325374,0.583198,1.442535,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,signal-weighted,11,0.158398,9.216312,-0.001794,0.588235,8,1039.648132,0.391807,0.205997,0.478239,1.339599,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,naive-momentum,7,0.356563,5.980731,-0.036674,0.577778,13,3638.216914,0.0,0.575381,0.575381,0.88312,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,naive-momentum,11,0.406556,8.395787,-0.001891,0.615385,9,3282.712368,0.0,0.614956,0.614956,1.35,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,risk-parity,7,0.42465,7.967523,-0.012368,0.583333,14,2989.517808,0.0,0.409672,0.409672,0.7,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,risk-parity,11,0.238646,11.207827,-0.018637,0.708333,8,2304.072311,0.0,0.43186,0.43186,0.775763,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,random,7,0.34516,8.095561,-0.012577,0.604651,11,3214.272801,0.0,0.411195,0.411195,1.0,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E2,harsh friction sweep corner,realistic,random,11,0.148338,7.665234,-0.018637,0.613636,11,2664.893965,0.0,0.418297,0.418297,1.0,1.0,protocol-fixture,Stress corner for execution-friction sensitivity; not calibrated cost prediction.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E3,calibrated replay fixture,calibrated,signal-weighted,7,0.184314,6.511613,-0.024688,0.657895,9,1683.151669,0.367945,0.254464,0.500241,1.357746,1.0,protocol-fixture,Calibrated replay fixture path. Venue-wide E3 claims require external quote/fill provenance.
trellm-v0.3-protocol,synthetic_jump_tail_c0_v0_3,C0,E3,calibrated replay fixture,calibrated,signal-weighted,11,0.164281,11.844257,-0.005135,0.676471,7,959.427141,0.391807,0.183785,0.42607,1.290034,1.0,protocol-fixture,Calibrated replay fixture path. Venue-wide E3 claims require external quote/fill provenance.
