protocol_id,scenario_id,contamination_tier,execution_level,stress_profile,stress_axis,agent,seed,spread_bps,latency_steps,participation_rate,market_impact,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_execution_gap_l1,risk_execution_gap_l1,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,signal-weighted,7,8.0,1,0.05,0.15,0.042693,9.405314,-0.000286,0.888889,0,418.297072,0.12854,0.090281,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,signal-weighted,11,8.0,1,0.05,0.15,0.107735,9.834006,-0.000902,0.857143,1,713.70648,0.379298,0.16407,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,risk-parity,7,8.0,1,0.05,0.15,0.086619,15.237123,-0.007837,0.875,2,1020.998483,0.278341,0.278341,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,risk-parity,11,8.0,1,0.05,0.15,0.159144,21.082335,-0.002069,0.90625,1,1275.993291,0.262425,0.262425,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,random,7,8.0,1,0.05,0.15,0.053415,9.291758,-0.007087,0.862069,2,1174.139993,0.42414,0.42414,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,e1_reference,reference,random,11,8.0,1,0.05,0.15,0.133831,13.542195,-0.002069,0.83871,3,1823.489264,0.406563,0.406563,protocol-fixture,Default E1 paper-stress reference for paired E2 grid deltas.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,signal-weighted,7,24.0,1,0.05,0.15,0.041415,9.234126,-0.000376,0.888889,0,543.490065,0.128463,0.090306,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,signal-weighted,11,24.0,1,0.05,0.15,0.105712,9.675022,-0.001179,0.857143,1,901.315076,0.379303,0.164078,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,risk-parity,7,24.0,1,0.05,0.15,0.083006,14.468623,-0.008634,0.90625,1,1357.513482,0.278305,0.278305,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,risk-parity,11,24.0,1,0.05,0.15,0.155598,20.519697,-0.00263,0.90625,1,1598.236006,0.26245,0.26245,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,random,7,24.0,1,0.05,0.15,0.049595,8.696868,-0.007518,0.862069,2,1543.581417,0.424416,0.424416,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,wide_spread,spread,random,11,24.0,1,0.05,0.15,0.128667,13.021688,-0.00263,0.83871,3,2299.819929,0.40664,0.40664,protocol-fixture,Spread-only stress probe; not a venue-wide spread forecast.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,signal-weighted,7,8.0,4,0.05,0.15,0.020523,5.240876,-0.000411,0.5,1,248.741342,0.208754,0.16986,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,signal-weighted,11,8.0,4,0.05,0.15,0.052248,10.020839,-0.003168,0.380952,5,686.715762,0.546657,0.33016,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,risk-parity,7,8.0,4,0.05,0.15,0.094129,14.036643,-0.001265,0.4375,10,614.233676,0.476247,0.476247,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,risk-parity,11,8.0,4,0.05,0.15,0.10923,14.825167,-0.002117,0.46875,9,657.352055,0.440533,0.440533,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,random,7,8.0,4,0.05,0.15,0.078072,12.71999,-0.001595,0.481481,6,620.048899,0.444236,0.444236,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,latency_spike,latency,random,11,8.0,4,0.05,0.15,0.092034,12.666084,-0.002117,0.357143,10,697.644802,0.558023,0.558023,protocol-fixture,Latency-only stress probe; not a broker latency guarantee.
