protocol_id,mode,effect_label,observed_cohens_d,repeat_count,alpha,power,draws,permutation_draws,claim_scope
trellm-v0.3-protocol,synthetic,cohens_d=0.2,0.2,6,0.05,0.0125,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.2,0.2,10,0.05,0.075,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.2,0.2,20,0.05,0.15,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.2,0.2,30,0.05,0.1875,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.5,0.5,6,0.05,0.1875,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.5,0.5,10,0.05,0.275,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.5,0.5,20,0.05,0.5375,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.5,0.5,30,0.05,0.75,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.8,0.8,6,0.05,0.2375,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.8,0.8,10,0.05,0.6,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.8,0.8,20,0.05,0.875,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=0.8,0.8,30,0.05,0.9875,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.2,1.2,6,0.05,0.525,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.2,1.2,10,0.05,0.8875,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.2,1.2,20,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.2,1.2,30,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.6,1.6,6,0.05,0.675,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.6,1.6,10,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.6,1.6,20,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=1.6,1.6,30,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=2,2.0,6,0.05,0.85,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=2,2.0,10,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=2,2.0,20,0.05,1.0,80,256,planning-note-not-model-performance-evidence
trellm-v0.3-protocol,synthetic,cohens_d=2,2.0,30,0.05,1.0,80,256,planning-note-not-model-performance-evidence
